pair,horizon_w,bucket,n,mean_fwd_pct,t_stat
XAUUSD,1,0-20,780,0.274559659437646,2.799233273212422
XAUUSD,1,20-40,949,0.2896130107329102,3.9112012052276617
XAUUSD,1,40-60,1250,0.2096755894739017,3.409759768190343
XAUUSD,1,60-80,1350,0.06630738902126897,1.0322175608068613
XAUUSD,1,80-100,1057,0.3773591625970345,4.88231359785069
XAUUSD,2,0-20,780,0.5273980530958863,4.077158560952505
XAUUSD,2,20-40,949,0.5435064352779378,5.093667356513462
XAUUSD,2,40-60,1245,0.43495787952979265,4.980256885146282
XAUUSD,2,60-80,1350,0.13495785779462777,1.4575333710977325
XAUUSD,2,80-100,1057,0.7578668902158946,7.19186532469119
XAUUSD,4,0-20,780,1.0677134048670476,6.1743019416130505
XAUUSD,4,20-40,949,0.8052967002608663,5.467613584652887
XAUUSD,4,40-60,1235,0.8951112592937766,7.12552782670154
XAUUSD,4,60-80,1350,0.32469286236376005,2.5116577283045527
XAUUSD,4,80-100,1057,1.6131309975259376,10.980931491749423
XAUUSD,8,0-20,780,1.9148221040190025,7.583532447367739
XAUUSD,8,20-40,949,1.0630195806136502,5.538408422793856
XAUUSD,8,40-60,1215,1.5315557480554223,9.438273282370588
XAUUSD,8,60-80,1350,1.723282210737451,9.595543517416846
XAUUSD,8,80-100,1057,2.7626510389213417,14.081641729261396
XAUUSD,13,0-20,780,2.724324200298246,8.61301073767198
XAUUSD,13,20-40,949,1.7836220865116814,7.451039247865163
XAUUSD,13,40-60,1215,2.024606388548083,10.610293889022982
XAUUSD,13,60-80,1325,3.257539057604239,14.970501854604592
XAUUSD,13,80-100,1057,4.480676244094652,16.717523996492165
EURUSD,1,0-20,437,-0.07673022725021038,-1.120358305999284
EURUSD,1,20-40,509,-0.12488026869042863,-2.690994493526991
EURUSD,1,40-60,541,-0.06284354440543996,-1.3699960872523127
EURUSD,1,60-80,366,-0.004945037160821178,-0.10208107414535206
EURUSD,1,80-100,373,0.06648943918963633,1.296468061348596
EURUSD,2,0-20,432,-0.17073241169405143,-1.8609548677273784
EURUSD,2,20-40,509,-0.3044749037021987,-4.450290563360305
EURUSD,2,40-60,541,-0.14237755953556835,-2.2039343189146385
EURUSD,2,60-80,366,0.02926994143948033,0.46062106329700014
EURUSD,2,80-100,373,0.17327139977776446,2.371360519841101
EURUSD,4,0-20,422,-0.440513472871476,-3.8292520727840467
EURUSD,4,20-40,509,-0.5499160915157366,-5.716630224240712
EURUSD,4,40-60,541,-0.3934048373579937,-4.487272599406467
EURUSD,4,60-80,366,0.16100889290929135,1.8771548460666017
EURUSD,4,80-100,373,0.35513491577981704,3.4919602755317114
EURUSD,8,0-20,412,-1.0664264692814234,-5.911250847717329
EURUSD,8,20-40,499,-0.9218733749342986,-7.309821973266046
EURUSD,8,40-60,541,-0.53290235750738,-4.925850278214761
EURUSD,8,60-80,366,0.013733166268480937,0.13374166301459364
EURUSD,8,80-100,373,0.7298272777255524,4.650882323509745
EURUSD,13,0-20,387,-1.376969265351642,-6.025677106589333
EURUSD,13,20-40,499,-1.4806168114107077,-8.676482888374402
EURUSD,13,40-60,541,-0.9276555944747933,-6.473253979083934
EURUSD,13,60-80,366,0.3990356630248918,2.633196933144045
EURUSD,13,80-100,373,0.7513275503072556,3.623936840044759
GBPUSD,1,0-20,1155,0.07244163288525249,1.4584340493188481
GBPUSD,1,20-40,1705,0.002936053811948541,0.09607158692393424
GBPUSD,1,40-60,1714,0.014713878022392792,0.5653631958621361
GBPUSD,1,60-80,1304,-0.09441147110673911,-3.3898558972930926
