pair,gate,n_trades,ret_pct,maxdd_pct,pf,win,sharpe
XAUUSD,none,132,12.745423455632876,-3.8081349029469913,1.41,0.394,0.29
XAUUSD,api,27,3.8499239224775383,-2.474935218116514,1.62,0.37,0.17
XAUUSD,comm,60,-4.947334974711614,-6.111856364192292,0.71,0.3,-0.21
XAUUSD,idx,77,10.269558433715575,-6.330096324105893,1.53,0.377,0.29
EURUSD,none,50,-1.1547482130903175,-5.345976490396431,0.94,0.26,-0.04
EURUSD,api,23,3.009870277510074,-4.010202645283034,1.51,0.304,0.18
EURUSD,comm,30,-6.223402158733482,-7.776320433928252,0.37,0.167,-0.6
EURUSD,idx,27,4.932040928891768,-3.2020941587208473,1.7,0.37,0.27
GBPUSD,none,175,-18.220085045096678,-19.000416840755896,0.65,0.28,-0.43
GBPUSD,api,84,-8.886147277327062,-10.438396622987733,0.66,0.274,-0.29
GBPUSD,comm,90,-12.679705195533597,-13.975201152361516,0.54,0.256,-0.45
GBPUSD,idx,101,-13.920715899433178,-14.42769480207222,0.56,0.238,-0.44
AUDUSD,none,56,2.433380157461662,-6.77572495689348,1.18,0.286,0.11
AUDUSD,api,16,3.749807832236951,-2.7410222723145417,2.01,0.438,0.36
AUDUSD,comm,36,5.279418884304277,-3.6313845139239076,1.55,0.333,0.22
AUDUSD,idx,27,2.592800898378722,-2.7410222723145306,1.4,0.333,0.21
NZDUSD,none,57,-1.4044015441949664,-5.279707550178725,0.92,0.421,-0.08
NZDUSD,api,17,-1.9372333047316004,-2.586835672301857,0.64,0.353,-0.25
NZDUSD,comm,30,-2.031093942948259,-4.3773129882877075,0.75,0.433,-0.22
NZDUSD,idx,30,-5.347952522733024,-5.442541255132694,0.46,0.233,-0.6
USDJPY,none,58,-0.03930768040099064,-4.390891629364424,1.03,0.259,0.02
USDJPY,api,19,4.090021826433343,-1.865250804203633,2.1,0.263,0.26
USDJPY,comm,34,0.5111119827847066,-5.847318929529777,1.08,0.265,0.04
USDJPY,idx,33,-1.8016701180587624,-3.4941508999427606,0.84,0.212,-0.12
USDCAD,none,58,-2.6488790159122644,-7.447117665307257,0.87,0.241,-0.11
USDCAD,api,22,0.1334347629837973,-2.7331514545482216,1.04,0.227,0.02
USDCAD,comm,32,-3.9114390933331022,-4.3716241379328835,0.6,0.25,-0.37
USDCAD,idx,29,1.5325272157016512,-3.4670366118541573,1.2,0.241,0.1
EURJPY,none,56,0.35064828806350423,-7.246416513217968,1.05,0.339,0.04
EURJPY,api,19,-3.9822746686644317,-4.645826403075548,0.35,0.263,-0.67
EURJPY,comm,30,0.9314095067650685,-3.4401256690497095,1.15,0.367,0.08
EURJPY,idx,25,5.965193073865982,-2.392670425619725,2.05,0.44,0.39
EURGBP,none,57,-4.553041573033045,-7.836758235679908,0.76,0.298,-0.26
EURGBP,api,9,0.8897871556651005,-1.3981711394130292,1.62,0.667,0.16
EURGBP,comm,31,-2.411503938412629,-5.833478473641895,0.78,0.258,-0.17
EURGBP,idx,28,1.5067656996565315,-2.9408467568415753,1.21,0.393,0.13
