date,comm_net,noncomm_net,open_interest,comm_positions_long_all,comm_positions_short_all,noncomm_positions_long_all,noncomm_positions_short_all
1987-01-30,316,182,1687,610,294,392,210
1987-05-29,-328,633,1991,217,545,633,0
1987-07-31,-1580,1543,4182,0,1580,2700,1157
1987-08-14,-1807,1543,4202,0,1807,2700,1157
1987-08-31,-2128,1543,4142,0,2128,2700,1157
1988-05-13,-143,428,2739,486,629,1328,900
1988-05-31,-901,848,8929,1951,2852,4958,4110
1988-06-15,1759,-2033,4198,2123,364,1418,3451
1988-06-30,-572,236,4992,3704,4276,236,0
1988-07-15,-43,0,4773,3762,3805,0,0
1988-07-29,-489,827,5314,3650,4139,827,0
1988-08-15,-929,879,5603,3763,4692,879,0
1988-08-31,-1429,1593,6813,4036,5465,1593,0
1988-09-15,-760,980,7023,5184,5944,980,0
1989-02-28,-190,-213,3655,1594,1784,0,213
1989-05-15,287,-201,2828,1152,865,0,201
1989-05-31,1257,-1354,4119,2076,819,5,1359
1989-06-15,245,-261,4367,2200,1955,0,261
1989-06-30,-87,28,2793,756,843,231,203
1989-07-14,894,-203,2056,1221,327,0,203
1989-07-31,886,-203,2227,1477,591,0,203
1989-08-15,536,-417,2572,1178,642,0,417
1989-08-31,863,0,2521,1505,642,0,0
1989-09-15,179,133,3436,1148,969,240,107
1989-12-29,-827,848,2554,0,827,1445,597
1990-01-15,933,-389,2343,1462,529,209,598
1990-01-31,2104,-200,3313,2626,522,0,200
1990-02-15,1977,-300,3799,2458,481,200,500
1990-03-15,1744,-300,3431,2469,725,0,300
1990-03-30,1748,-459,2343,1748,0,0,459
1990-04-30,752,-474,2968,1296,544,0,474
1990-05-15,867,-444,2274,1411,544,0,444
1990-07-13,-1571,505,2661,117,1688,505,0
1990-08-15,-631,0,2639,767,1398,0,0
1990-08-31,-1155,0,3070,1022,2177,0,0
1990-09-14,-988,0,3281,1398,2386,0,0
1990-10-15,22,0,1889,864,842,0,0
1990-11-15,-179,0,2797,905,1084,0,0
1990-11-30,1008,0,3152,2290,1282,0,0
1990-12-14,870,-227,3441,2455,1585,0,227
1991-01-15,15,0,1960,1078,1063,0,0
1991-02-15,-449,0,1908,640,1089,0,0
1991-06-14,130,204,3181,1190,1060,204,0
1992-04-15,-446,510,3185,1523,1969,510,0
1992-04-30,49,244,2477,1523,1474,244,0
1992-05-15,134,217,2515,1331,1197,217,0
1992-05-29,-237,217,2563,1330,1567,217,0
1992-06-15,-73,0,2783,1502,1575,0,0
1992-08-14,2711,-889,3451,2711,0,0,889
1992-08-31,2763,-958,3725,2773,10,0,958
1992-09-15,930,-412,5434,4252,3322,0,412
1992-09-30,1154,-673,3115,2361,1207,0,673
1992-10-06,1129,-673,3085,2363,1234,0,673
1992-10-13,951,-673,2997,2363,1412,0,673
1992-10-20,1048,-517,2953,2363,1315,0,517
1992-10-27,1666,-517,3644,2637,971,0,517
1992-11-03,3155,-914,4101,3267,112,0,914
1992-11-10,3099,-914,4115,3221,122,0,914
1992-11-17,3235,-1137,4376,3357,122,0,1137
1992-11-24,3129,-919,4518,3251,122,218,1137
1992-12-01,2902,-1116,5237,3291,389,0,1116
1992-12-08,1651,-743,4165,2677,1026,0,743
1992-12-15,1879,-743,4320,3284,1405,0,743
1992-12-22,1680,-743,2394,1680,0,0,743
1992-12-29,1656,-743,2398,1656,0,0,743
1993-01-05,3626,-1326,3705,3631,5,0,1326
1993-01-12,3811,-1626,4477,3811,0,0,1626
1993-01-19,4019,-1626,4631,4019,0,0,1626
1993-01-26,3924,-1417,4619,3924,0,0,1417
1993-02-02,3107,-1619,4597,3468,361,0,1619
1993-02-09,2822,-1252,3812,3188,366,0,1252
1993-02-16,2071,-851,3409,2499,428,0,851
1993-02-23,-262,-25,3376,1740,2002,286,311
1993-03-02,-1960,738,4640,1650,3610,738,0
1993-03-09,-1772,738,4926,1650,3422,738,0
