date,comm_net,noncomm_net,open_interest,comm_positions_long_all,comm_positions_short_all,noncomm_positions_long_all,noncomm_positions_short_all
1986-01-15,7463,-7975,15693,9782,2319,407,8382
1986-01-31,9764,-8988,18922,12821,3057,413,9401
1986-02-14,-1038,-803,13901,6071,7109,1710,2513
1986-02-28,3231,-2209,15075,8775,5544,1547,3756
1986-03-14,-194,-372,14134,6981,7175,1524,1896
1986-03-31,-2241,764,9748,2735,4976,1768,1004
1986-04-15,-3152,775,10983,2642,5794,2185,1410
1986-04-30,-7236,1848,13670,1523,8759,3401,1553
1986-05-15,-5946,1067,14246,1804,7750,3575,2508
1986-05-30,-6874,2108,14977,4384,11258,2233,125
1986-06-13,-3702,152,13025,5342,9044,1174,1022
1986-06-30,-2126,485,9400,917,3043,1417,932
1986-07-15,-5102,693,11320,975,6077,1951,1258
1986-07-31,-343,-926,13759,6636,6979,1040,1966
1986-08-15,2011,-1377,15436,8997,6986,1557,2934
1986-08-29,4225,-2822,17501,12479,8254,205,3027
1986-09-15,-1801,-743,16111,7614,9415,328,1071
1986-09-30,-2676,-746,9358,1733,4409,249,995
1986-10-15,-1426,-1711,11095,3183,4609,462,2173
1986-10-31,-508,-2268,12377,4355,4863,702,2970
1986-11-14,-7379,2437,15667,1957,9336,4160,1723
1986-11-28,-4218,-130,14648,3931,8149,1620,1750
1986-12-15,-7355,1980,18363,5407,12762,3056,1076
1986-12-31,-6441,1807,14937,3637,10078,2905,1098
1987-01-15,-7770,2014,15379,2253,10023,3591,1577
1987-01-30,-14992,5165,23106,1521,16513,6196,1031
1987-02-13,-12658,3157,24222,3870,16528,4639,1482
1987-02-27,-14462,5770,24837,2839,17301,6827,1057
1987-03-13,-22083,10992,34455,6548,28631,11212,220
1987-03-31,-19019,7386,27963,2467,21486,7855,469
1987-04-15,-10639,2843,25825,7102,17741,3643,800
1987-04-30,-5521,-132,24537,10780,16301,1721,1853
1987-05-15,-4826,410,24663,10648,15474,1667,1257
1987-05-29,-4544,356,25406,11135,15679,1521,1165
1987-06-15,-4195,927,25820,11588,15783,1507,580
1987-06-30,-11293,2941,19674,6380,17673,3215,274
1987-07-15,-14982,4652,23082,2723,17705,4652,0
1987-07-31,-8341,2247,19033,5047,13388,2531,284
1987-08-14,-9235,2530,18322,3477,12712,2530,0
1987-08-31,-15966,5064,23449,1803,17769,5651,587
1987-09-15,-13729,6290,19660,2044,15773,6821,531
1987-09-30,-16660,8694,21422,601,17261,8694,0
1987-10-15,-18018,10116,23337,613,18631,10116,0
1987-10-30,-6544,1913,19138,7702,14246,2393,480
1987-11-13,-2854,1716,18209,8992,11846,2196,480
1987-11-30,-5366,2047,19321,6851,12217,2527,480
1987-12-15,-11412,2806,12185,2124,13536,3452,646
1987-12-31,-10054,4238,14908,0,10054,4907,669
1988-01-15,-16977,7731,21722,613,17590,7950,219
1988-01-29,-19005,8870,25446,839,19844,9296,426
1988-02-12,-17699,8375,25254,619,18318,9635,1260
1988-02-29,-16596,8798,23411,469,17065,9283,485
1988-03-15,-14570,5965,18998,2740,17310,5965,0
1988-03-31,-16830,8295,24339,793,17623,8840,545
1988-04-15,-14569,5439,23747,2792,17361,6314,875
1988-04-29,-13851,4035,25940,2397,16248,6206,2171
1988-05-13,-15014,7102,28220,2520,17534,8885,1783
1988-05-31,-11448,4028,29846,4764,16212,5917,1889
1988-06-15,-29364,18117,36198,1292,30656,19403,1286
1988-06-30,-27053,18013,33848,2002,29055,18320,307
1988-07-15,-24833,17166,33023,1459,26292,17929,763
1988-07-29,-15983,9078,30069,7289,23272,9590,512
1988-08-15,-4996,3643,28090,11536,16532,5469,1826
1988-08-31,1041,-429,28513,15703,14662,2707,3136
1988-09-15,-999,-931,25186,13112,14111,2412,3343
1988-09-30,-8108,1255,17849,1758,9866,3819,2564
1988-10-14,-14710,4488,21686,1452,16162,5223,735
1988-10-31,-12194,4811,23452,1881,14075,5651,840
1988-11-15,-1148,578,17370,5855,7003,2366,1788
1988-11-30,-14533,6852,28227,2541,17074,9566,2714
1988-12-15,-8616,2633,27374,9301,17917,5181,2548
1988-12-30,-15093,6570,21974,1515,16608,8136,1566
1989-01-13,-11532,4864,21597,2636,14168,6105,1241
1989-01-31,-17592,9077,29437,1923,19515,12506,3429
1989-02-15,-12915,6497,28642,3684,16599,9739,3242
1989-02-28,4741,-2384,30683,15896,11155,1373,3757
1989-03-15,345,1760,15491,3052,2707,3429,1669
1989-03-31,-7284,5084,19631,1235,8519,7049,1965
1989-04-14,-9184,6040,20893,1192,10376,7688,1648
1989-04-28,-7215,6212,22867,3329,10544,7729,1517
1989-05-15,-12216,9150,25373,2848,15064,10307,1157
1989-05-31,9979,-3246,29282,17499,7520,2725,5971
1989-06-15,10023,-5141,29253,19180,9157,1234,6375
1989-06-30,1624,-1214,17987,8109,6485,2872,4086
1989-07-14,-541,323,17853,6789,7330,2802,2479
1989-07-31,-7741,5784,27257,7963,15704,8894,3110
1989-08-15,-8748,7876,29531,9101,17849,10541,2665
1989-08-31,-8943,9388,34598,9994,18937,13394,4006
1989-09-15,1350,1860,30187,15269,13919,7480,5620
1989-09-29,-3022,5229,20315,5064,8086,8311,3082
1989-10-13,-9651,11781,27248,4741,14392,14567,2786
1989-10-31,-7079,9332,26267,6706,13785,11688,2356
1989-11-15,-10170,11706,29514,5869,16039,13856,2150
1989-11-30,-11088,11396,30846,6203,17291,13672,2276
1989-12-15,-11571,11246,33546,10809,22380,13327,2081
1989-12-29,-12455,10422,23526,1420,13875,12551,2129
1990-01-15,-5499,7134,24717,5430,10929,10615,3481
1990-01-31,16398,-9246,28934,22272,5874,393,9639
1990-02-15,15994,-9171,29370,20815,4821,787,9958
1990-02-28,16363,-10019,29024,22145,5782,251,10270
1990-03-15,5445,-2714,27766,16925,11480,2591,5305
1990-03-30,1529,222,17957,6894,5365,3130,2908
1990-04-12,-5292,5748,25282,6618,11910,8166,2418
1990-04-30,-3387,5821,29053,8210,11597,9476,3655
1990-05-15,16424,-2987,33642,22636,6212,4243,7230
1990-05-31,14735,-4210,34873,22530,7795,2543,6753
1990-06-15,9087,-2316,30514,19536,10449,3303,5619
1990-06-29,-905,4507,31003,12623,13528,8570,4063
1990-07-13,-6917,8918,38769,13026,19943,12952,4034
1990-07-31,-8541,11585,42224,15618,24159,14849,3264
1990-08-15,-10445,10975,41556,15745,26190,13532,2557
1990-08-31,2910,2666,41206,25084,22174,6010,3344
1990-09-14,11900,-2539,38281,29574,17674,1472,4011
1990-09-28,6963,-721,27661,19193,12230,1604,2325
1990-10-15,1619,2678,27955,14876,13257,4679,2001
1990-10-31,10711,-4638,32325,22346,11635,1656,6294
1990-11-15,9837,-5147,31534,20941,11104,693,5840
1990-11-30,8737,-2316,28907,17727,8990,2237,4553
1990-12-14,1334,300,23961,12590,11256,1957,1657
1990-12-31,-1001,2215,22712,9388,10389,4064,1849
1991-01-15,-15199,12899,32725,5608,20807,14157,1258
1991-01-31,4392,-90,25737,12051,7659,4342,4432
1991-02-15,3613,-925,27245,11912,8299,5585,6510
1991-02-28,-2937,2964,31879,9355,12292,9837,6873
1991-03-15,-3072,2829,26779,8835,11907,6577,3748
1991-03-28,1941,1211,19241,6289,4348,5056,3845
1991-04-15,-9997,9252,28691,3551,13548,13581,4329
1991-04-30,1531,1614,25340,9827,8296,6242,4628
1991-05-15,-5567,5829,28608,7521,13088,9430,3601
1991-05-31,-9335,8376,32355,7092,16427,12330,3954
1991-06-14,-13453,10390,37191,11039,24492,13278,2888
1991-06-28,-13390,11478,29427,4151,17541,14153,2675
1991-07-15,537,785,24326,7699,7162,6344,5559
1991-07-31,4849,-2377,22297,12094,7245,2643,5020
1991-08-15,-6704,6383,26022,6574,13278,9093,2710
1991-08-30,-11044,8662,29129,7005,18049,11113,2451
1991-09-16,-7208,5961,38130,17144,24352,11639,5678
1991-09-30,-3690,2131,27203,7590,11280,10063,7932
1991-10-15,-8462,6104,28454,6430,14892,10856,4752
1991-10-31,-10242,8079,29873,6561,16803,11911,3832
1991-11-15,3298,-1852,26661,12893,9595,4659,6511
1991-11-29,3821,-2423,25535,12621,8800,3814,6237
1991-12-13,6612,-3808,22133,15417,8805,1234,5042
1991-12-31,13595,-7538,20540,16078,2483,259,7797
1992-01-15,9817,-4985,18256,12891,3074,205,5190
1992-01-31,15544,-7931,23068,19021,3477,283,8214
1992-02-14,14944,-7297,23894,19177,4233,234,7531
1992-02-28,9315,-4310,22904,14655,5340,872,5182
1992-03-13,10286,-4473,29383,20893,10607,2353,6826
1992-03-31,7688,-3691,21405,12300,4612,2236,5927
1992-04-15,194,127,22012,9465,9271,3718,3591
1992-04-30,5548,-2939,20585,12496,6948,1213,4152
1992-05-15,16400,-10539,26914,20528,4128,587,11126
1992-05-29,12818,-7699,25630,17314,4496,2177,9876
1992-06-15,3448,-3547,24250,13228,9780,3646,7193
1992-06-30,4266,-2651,20036,9318,5052,4148,6799
1992-07-15,526,-785,24509,10126,9600,7012,7797
1992-07-31,-8949,3637,30397,7555,16504,11663,8026
1992-08-14,-1210,700,26979,10004,11214,7947,7247
1992-08-31,3109,-2913,26375,12610,9501,5370,8283
1992-09-15,20132,-11529,31229,25079,4947,716,12245
1992-09-30,15117,-9616,28128,19150,4033,1474,11090
1992-10-06,16633,-10009,29787,21578,4945,630,10639
1992-10-13,14210,-8501,28345,20049,5839,370,8871
1992-10-20,10271,-5923,27811,17362,7091,1532,7455
1992-10-27,7668,-5928,25623,15235,7567,1158,7086
1992-11-03,5471,-4403,23862,12572,7101,1527,5930
1992-11-10,9422,-4885,25486,16085,6663,758,5643
1992-11-17,13013,-5377,29834,20285,7272,1106,6483
1992-11-24,13618,-5620,31439,21511,7893,2041,7661
1992-12-01,14846,-7307,31410,22290,7444,658,7965
1992-12-08,11768,-4905,28270,19877,8109,370,5275
1992-12-15,9766,-4233,30053,22155,12389,420,4653
