date,comm_net,noncomm_net,open_interest,comm_positions_long_all,comm_positions_short_all,noncomm_positions_long_all,noncomm_positions_short_all
1992-05-29,347,-442,743,499,152,50,492
1992-06-15,965,-882,3586,965,0,1176,2058
1992-06-30,1420,-1665,4576,1420,0,1621,3286
1992-07-15,94,-852,4073,316,222,1720,2572
1992-07-31,472,-1535,4421,472,0,1584,3119
1992-08-14,295,-1444,5372,631,336,2095,3539
1992-08-31,354,-1188,4625,518,164,1407,2595
1992-09-15,-315,-702,5386,356,671,2975,3677
1992-09-30,118,-877,4515,402,284,1349,2226
1992-10-06,356,-1531,6706,634,278,2908,4439
1992-10-13,788,-1850,5003,888,100,1062,2912
1992-10-20,356,-1777,5874,456,100,2190,3967
1992-10-27,190,-1510,4301,290,100,1228,2738
1992-11-03,-947,-580,5064,236,1183,1298,1878
1992-11-10,-1519,337,6142,0,1519,2474,2137
1992-11-17,-1206,-198,6078,50,1256,2455,2653
1992-11-24,-1075,-154,6987,50,1125,3662,3816
1992-12-01,-858,-426,5508,0,858,2189,2615
1992-12-08,-216,-395,3358,224,440,1099,1494
1992-12-15,18,-391,2274,68,50,917,1308
1992-12-22,50,-1073,4033,100,50,2079,3152
1992-12-29,124,-2012,5818,124,0,3200,5212
1993-01-05,1263,-3340,7253,1263,0,2886,6226
1993-01-12,1705,-3482,8288,1705,0,3902,7384
1993-01-19,29,-1710,5188,155,126,2352,4062
1993-01-26,155,-1091,3345,205,50,1265,2356
1993-02-02,326,-2061,6509,326,0,1785,3846
1993-02-09,360,-1904,7167,360,0,2357,4261
1993-02-16,427,-1617,6136,427,0,1449,3066
1993-02-23,431,-644,6144,431,0,2191,2835
1993-03-02,197,-933,6535,233,36,2744,3677
1993-03-09,-963,-343,6548,63,1026,4212,4555
1993-03-16,-1918,998,7014,0,1918,4469,3471
1993-03-23,-1038,1435,6342,442,1480,4841,3406
1993-03-30,-1492,1715,5260,52,1544,3616,1901
1993-04-06,-868,1327,6693,612,1480,4334,3007
1993-04-13,-1659,3037,8200,211,1870,5677,2640
1993-04-20,-1312,2472,7992,345,1657,5121,2649
1993-04-27,-1316,2198,7737,296,1612,4810,2612
1993-05-04,-1085,2033,7121,395,1480,5139,3106
1993-05-11,-1344,1376,6130,295,1639,3753,2377
1993-05-18,-1266,234,6452,214,1480,3110,2876
1993-05-25,-1474,593,6915,214,1688,3464,2871
1993-06-01,-1026,1346,6822,454,1480,4247,2901
1993-06-08,-1703,1190,7404,223,1926,3226,2036
1993-06-15,-1626,710,6010,67,1693,2739,2029
1993-06-22,-473,-1759,8781,0,473,3779,5538
1993-06-29,-372,-1822,7640,0,372,2632,4454
1993-07-06,0,-2931,9942,0,0,4280,7211
1993-07-13,-50,-3833,10280,0,50,3674,7507
1993-07-20,0,-2738,8727,0,0,3158,5896
1993-07-27,0,-2662,9767,0,0,2562,5224
1993-08-03,0,-2275,10368,0,0,2997,5272
1993-08-10,0,-2112,10051,0,0,3019,5131
1993-08-17,0,-837,8278,0,0,2296,3133
1993-08-24,0,-283,7541,0,0,1876,2159
1993-08-31,0,-253,8375,0,0,2910,3163
1993-09-07,0,1058,7636,0,0,5414,4356
1993-09-14,0,1460,7041,0,0,4224,2764
1993-09-21,-1037,1860,5560,0,1037,4599,2739
1993-09-28,-1202,1828,5555,325,1527,4297,2469
1993-10-05,-1840,2166,7919,830,2670,3698,1532
1993-10-12,-599,1368,8951,830,1429,6994,5626
1993-10-19,-1405,794,8031,830,2235,2049,1255
1993-10-26,-1576,189,10291,951,2527,2897,2708
1993-11-02,-1950,14,9975,951,2901,2246,2232
1993-11-09,-1816,-140,12298,951,2767,4482,4622
1993-11-16,-2392,43,14430,971,3363,6047,6004
1993-11-23,-1746,-760,11894,993,2739,4015,4775
1993-11-30,-1687,-874,12132,920,2607,3948,4822
1993-12-07,-1118,-382,10260,453,1571,3021,3403
1993-12-14,-1119,77,8468,200,1319,2974,2897
1993-12-21,91,-1385,7950,240,149,2948,4333
1993-12-28,280,-477,7796,419,139,2760,3237
1994-01-04,-228,-2018,11599,201,429,6303,8321
1994-01-11,-399,-2177,11584,117,516,5945,8122
1994-01-18,-52,-2793,11781,115,167,5809,8602
