date,comm_net,noncomm_net,open_interest,comm_positions_long_all,comm_positions_short_all,noncomm_positions_long_all,noncomm_positions_short_all
1986-01-15,-179,-54,1105,462,641,2,56
1986-01-31,-83,55,1438,934,1017,101,46
1986-02-14,-27,35,1279,964,991,35,0
1986-02-28,-4,0,1185,962,966,0,0
1986-03-14,-35,37,1023,945,980,37,0
1986-06-30,-3,0,721,33,36,0,0
1986-07-15,-41,0,460,33,74,0,0
1986-07-31,-13,0,647,62,75,0,0
1986-08-15,62,-30,613,62,0,0,30
1986-08-29,2,125,383,62,60,125,0
1999-01-05,-1428,-240,2091,0,1428,0,240
1999-01-12,-1135,440,8241,1849,2984,1717,1277
1999-01-19,-1833,973,6184,1647,3480,1256,283
1999-01-26,-1088,986,6850,2431,3519,1256,270
1999-02-02,8392,-10354,27050,14133,5741,1930,12284
1999-02-09,13032,-13123,30301,19827,6795,438,13561
1999-02-16,14416,-15031,30110,19118,4702,450,15481
1999-02-23,19380,-17145,37157,24049,4669,280,17425
1999-03-02,17612,-13574,35989,20976,3364,2130,15704
1999-03-09,14682,-8944,44090,24203,9521,4730,13674
1999-03-16,13029,-12004,32579,20636,7607,819,12823
1999-03-23,12771,-9129,29252,20482,7711,1027,10156
1999-03-30,17720,-17277,36612,26814,9094,671,17948
1999-04-06,9290,-11042,30360,18515,9225,892,11934
1999-04-13,10877,-14160,31725,19509,8632,992,15152
1999-04-20,24316,-24502,43656,33493,9177,702,25204
1999-04-27,18971,-18858,42000,30351,11380,2098,20956
1999-05-04,19227,-19180,41973,30356,11129,978,20158
1999-05-11,9604,-10700,43471,30936,21332,1842,12542
1999-05-18,7424,-10563,45633,31512,24088,1445,12008
1999-05-25,7889,-9512,47949,34429,26540,1278,10790
1999-06-01,7908,-8008,57438,38915,31007,4676,12684
1999-06-08,8303,-8974,61075,40055,31752,4508,13482
1999-06-15,5736,-8523,37512,18769,13033,4962,13485
1999-06-22,4144,-5322,39349,18990,14846,6740,12062
1999-06-29,333,-3868,39950,18318,17985,7465,11333
1999-07-06,6209,-5711,45102,22378,16169,7199,12910
1999-07-13,3057,-5312,45494,20745,17688,8534,13846
1999-07-20,480,-6007,46600,21332,20852,8225,14232
1999-07-27,-7258,1803,51204,27311,34569,10749,8946
1999-08-03,-14762,7453,54806,25465,40227,14433,6980
1999-08-10,-21570,11901,58263,22527,44097,19391,7490
1999-08-17,-6915,1243,55724,31859,38774,8982,7739
1999-08-24,-3564,605,54915,33071,36635,8883,8278
1999-08-31,-7130,3462,59260,32868,39998,12506,9044
1999-09-07,-7511,1844,54762,31937,39448,8580,6736
1999-09-14,1376,-2563,36189,16427,15051,6079,8642
1999-09-21,-1122,-1560,40795,17725,18847,7377,8937
1999-09-28,-5527,2233,42520,15282,20809,11836,9603
1999-10-05,-23954,12979,52695,15887,39841,18324,5345
1999-10-12,-24684,13099,55196,15945,40629,19344,6245
1999-10-19,-39600,23385,67889,14614,54214,30433,7048
1999-10-26,-19039,10239,55336,17950,36989,18338,8099
1999-11-02,-3192,-4593,52693,24640,27832,9572,14165
1999-11-09,1140,-4890,54274,28776,27636,7794,12684
1999-11-16,7298,-9009,59141,34126,26828,8225,17234
1999-11-23,10665,-14345,65696,39998,29333,9084,23429
1999-11-30,21223,-25051,70945,42076,20853,9203,34254
1999-12-07,17120,-20738,79429,53411,36291,6244,26982
1999-12-14,15141,-16856,55677,29190,14049,7414,24270
1999-12-21,3968,-8911,46637,21022,17054,9708,18619
1999-12-28,11381,-15414,54115,28364,16983,9737,25151
2000-01-04,-4190,-5189,52778,22014,26204,10966,16155
2000-01-11,-19939,8714,64026,21641,41580,21041,12327
2000-01-18,937,-8018,62211,31959,31022,11255,19273
2000-01-25,5663,-13303,65619,33231,27568,11274,24577
2000-02-01,15538,-23010,74547,41307,25769,11318,34328
2000-02-08,9359,-16692,69619,37681,28322,11144,27836
2000-02-15,-1557,-5414,66045,32406,33963,12223,17637
2000-02-22,-13540,2644,68723,28016,41556,17116,14472
2000-02-29,2003,-7591,64192,34993,32990,9518,17109
2000-03-07,11535,-17953,74944,43855,32320,9425,27378
2000-03-14,8280,-13639,50962,22299,14019,10269,23908
2000-03-21,5391,-12025,51262,21046,15655,10790,22815
2000-03-28,5192,-11640,52329,22090,16898,10471,22111
2000-04-04,-1568,-8524,55207,20838,22406,11796,20320
2000-04-11,-5242,-4856,56936,20918,26160,13961,18817
2000-04-18,-7225,-1664,60605,21364,28589,15619,17283
2000-04-25,-10654,980,64805,21954,32608,18169,17189
2000-05-02,-11283,1649,69848,21779,33062,20881,19232
2000-05-09,-11838,-2179,68044,23626,35464,17710,19889
2000-05-16,-12714,536,65049,21877,34591,14638,14102
2000-05-23,-14057,519,68152,23725,37782,13759,13240
2000-05-30,-22174,6509,65497,21118,43292,13958,7449
2000-06-06,-29473,9951,66367,19955,49428,13892,3941
2000-06-13,-29423,10332,68349,23551,52974,12533,2201
2000-06-20,-28426,9625,54310,13540,41966,11433,1808
2000-06-27,-26041,9061,52074,13312,39353,10869,1808
2000-07-05,-28077,7450,54598,13665,41742,11222,3772
2000-07-11,-29082,10130,55213,13802,42884,12726,2596
2000-07-18,-22996,8045,58300,14944,37940,13011,4966
2000-07-25,-29097,12397,62286,16172,45269,15474,3077
2000-08-01,-24027,10272,62111,16807,40834,14538,4266
2000-08-08,-18095,8362,68746,23153,41248,14476,6114
2000-08-15,-19502,7634,68247,23052,42554,13730,6096
2000-08-22,-17131,3360,70673,25708,42839,12579,9219
2000-08-29,-14372,1206,73012,25725,40097,13536,12330
2000-09-05,-16197,382,77486,27815,44012,13034,12652
2000-09-12,-20672,1174,84086,33165,53837,9717,8543
2000-09-19,-13180,-4237,73646,28109,41289,10333,14570
2000-09-26,-15210,149,66421,26471,41681,6334,6185
2000-10-03,-19627,3393,67596,26050,45677,8336,4943
2000-10-10,-23379,5403,71703,25878,49257,10749,5346
2000-10-17,-18146,1720,73195,29498,47644,10224,8504
2000-10-24,-18555,1833,76773,31077,49632,10198,8365
2000-10-31,-18812,2173,75650,29207,48019,11095,8922
2000-11-07,-20350,3778,73922,28448,48798,11615,7837
2000-11-14,-19859,2735,78068,32903,52762,11197,8462
2000-11-21,-21601,5908,81781,35273,56874,11397,5489
2000-11-28,-26881,6941,85904,37403,64284,11221,4280
2000-12-05,-39865,16028,89752,35485,75350,16995,967
2000-12-12,-46105,19532,98322,37199,83304,20411,879
2000-12-19,-52141,21814,77326,15586,67727,22289,475
2000-12-26,-55183,26380,84237,15504,70687,28255,1875
2001-01-02,-56085,27074,84654,16458,72543,28678,1604
2001-01-09,-53271,23832,92722,23388,76659,25570,1738
2001-01-16,-52251,20735,93621,25094,77345,24015,3280
2001-01-23,-44493,17242,85880,26742,71235,18885,1643
2001-01-30,-45293,16160,85158,26214,71507,16910,750
2001-02-06,-45438,14335,90774,29456,74894,16903,2568
2001-02-13,-42449,14702,90316,32266,74715,16118,1416
2001-02-20,-36881,10002,89783,35298,72179,10940,938
2001-02-27,-36036,9513,94625,40411,76447,12364,2851
2001-03-06,-45110,17064,96223,35850,80960,17250,186
2001-03-13,-35079,7827,102063,46386,81465,9179,1352
2001-03-20,-24752,2613,73043,28968,53720,8415,5802
2001-03-27,-20280,3884,73047,28945,49225,9243,5359
2001-04-03,-23410,6775,77853,30257,53667,12823,6048
2001-04-10,-22309,5745,75092,29219,51528,11040,5295
2001-04-17,-30240,4993,77532,28686,58926,12851,7858
2001-04-24,-37617,7303,80964,31366,68983,12647,5344
2001-05-01,-36434,6044,82811,32807,69241,12005,5961
2001-05-08,-31277,4354,87560,36381,67658,12030,7676
2001-05-15,-25199,3408,88743,37044,62243,13881,10473
2001-05-22,-14201,-5453,92969,40057,54258,13720,19173
2001-05-29,-18037,-2931,93121,37947,55984,15862,18793
2001-06-05,-11942,-4813,99312,43561,55503,15748,20561
2001-06-12,-1569,-4588,114364,54352,55921,16502,21090
2001-06-19,-11964,3633,73278,25596,37560,12297,8664
2001-06-26,-14670,3175,75413,25888,40558,13806,10631
2001-07-03,-11647,3246,77138,26321,37968,14741,11495
2001-07-10,-16674,6651,83100,28465,45139,17180,10529
2001-07-17,-24177,9043,84435,28123,52300,17084,8041
2001-07-24,-37121,14291,87072,24519,61640,20062,5771
2001-07-31,-39383,16083,89655,26097,65480,21210,5127
2001-08-07,-41506,16640,94227,28745,70251,22076,5436
2001-08-14,-51637,24353,99325,39997,91634,27479,3126
2001-08-21,-57146,28970,109131,46443,103589,30729,1759
2001-08-28,-59876,29505,113131,33194,93070,31666,2161
2001-09-04,-49078,21821,108326,35686,84764,25446,3625
2001-09-10,-43161,17849,117970,43737,86898,21845,3996
