date,comm_net,noncomm_net,open_interest,comm_positions_long_all,comm_positions_short_all,noncomm_positions_long_all,noncomm_positions_short_all
1988-04-29,17,0,3714,2403,2386,0,0
1988-05-13,-99,231,4051,2187,2286,231,0
1988-05-31,1547,-267,6090,2967,1420,0,267
1988-06-15,4847,-3136,16980,7449,2602,996,4132
1988-06-30,4829,-2660,16530,8505,3676,300,2960
1988-07-15,5141,-1751,17980,8698,3557,941,2692
1988-07-29,2500,-1400,16199,6774,4274,0,1400
1988-08-15,-1690,176,19804,7316,9006,1412,1236
1988-08-31,-2195,2222,19574,6472,8667,3255,1033
1988-09-15,746,-632,19741,10901,10155,199,831
1988-09-30,705,435,12790,3929,3224,1761,1326
1988-10-14,-10477,5558,22023,2240,12717,6874,1316
1988-10-31,-7027,3407,19073,2866,9893,3773,366
1988-11-15,-8490,4097,19333,3675,12165,4097,0
1988-11-30,-15269,8470,28514,4668,19937,8470,0
1988-12-15,-6996,4050,28928,11171,18167,6098,2048
1988-12-30,-1814,344,16277,5998,7812,2251,1907
1989-01-13,9323,-5483,24359,15422,6099,1356,6839
1989-01-31,5425,-2864,24733,13662,8237,3285,6149
1989-02-15,5656,-3760,23653,12997,7341,1357,5117
1989-02-28,6756,-5451,25427,14233,7477,488,5939
1989-03-15,10066,-3633,20601,12214,2148,2579,6212
1989-03-31,13590,-7383,21413,14552,962,800,8183
1989-04-14,7813,-2483,22808,10661,2848,4600,7083
1989-04-28,5563,-1693,18096,8038,2475,2363,4056
1989-05-15,16225,-10869,27737,19562,3337,899,11768
1989-05-31,14168,-9087,27640,18962,4794,918,10005
1989-06-15,10376,-5240,29312,20236,9860,1097,6337
1989-06-30,14182,-7944,23390,14934,752,400,8344
1989-07-14,2911,-3700,23729,12165,9254,2906,6606
1989-07-31,-13102,8278,26345,4776,17878,9989,1711
1989-08-15,8820,-6046,23192,13022,4202,1869,7915
1989-08-31,11580,-3667,21958,14747,3167,1330,4997
1989-09-15,11654,-7474,34445,22220,10566,745,8219
1989-09-29,-5503,3636,24441,9539,15042,5352,1716
1989-10-13,9142,-4310,20998,13826,4684,841,5151
1989-10-31,2156,-658,22915,12561,10405,2819,3477
1989-11-15,-1762,3130,26200,12295,14057,6408,3278
1989-11-30,6305,-3391,23429,15485,9180,550,3941
1989-12-15,-10304,6377,29696,11836,22140,6991,614
1989-12-29,-12193,7137,19835,1771,13964,7388,251
1990-01-15,-13543,7958,23586,2745,16288,8634,676
1990-01-31,-14060,9399,26743,4365,18425,10083,684
1990-02-15,-13603,7857,30949,5620,19223,8859,1002
1990-02-28,-9846,5959,30640,8846,18692,7169,1210
1990-03-15,9022,-5201,30738,21078,12056,1704,6905
1990-03-30,6159,-3906,20876,11422,5263,426,4332
1990-04-12,1025,-2493,24758,9929,8904,917,3410
1990-04-30,6720,-4406,25039,13081,6361,1490,5896
1990-05-15,-7302,3717,31004,9817,17119,5984,2267
1990-05-31,-14974,11227,37655,9172,24146,13336,2109
1990-06-15,-18441,12921,41745,9808,28249,15163,2242
1990-06-29,-22696,15062,35653,2739,25435,16957,1895
1990-07-13,-19028,13477,36784,4015,23043,14648,1171
1990-07-31,-19519,12742,38002,5088,24607,14226,1484
1990-08-15,-19378,13594,42643,10222,29600,15351,1757
1990-08-31,-11695,8647,39839,14595,26290,9801,1154
1990-09-14,-309,-1195,38312,21794,22103,3199,4394
1990-09-28,8662,-5512,28248,18710,10048,2128,7640
1990-10-15,-9681,5282,32439,10185,19866,8375,3093
1990-10-31,-8116,7111,34086,11636,19752,9998,2887
1990-11-15,-11389,10766,40331,14435,25824,12422,1656
1990-11-30,-4029,7753,36595,15871,19900,9283,1530
1990-12-14,7056,1060,36298,21149,14093,7382,6322
1990-12-31,15344,-6623,25426,17805,2461,775,7398
1991-01-15,8669,-4687,20985,12845,4176,1224,5911
1991-01-31,-4488,3660,28788,10431,14919,6552,2892
1991-02-15,-12562,8312,37151,8888,21450,11853,3541
1991-02-28,6632,-2554,31471,17851,11219,4082,6636
1991-03-15,14626,-6981,40947,32341,17715,875,7856
1991-03-28,17903,-11004,30696,23947,6044,0,11004
1991-04-15,10887,-6974,30173,18512,7625,522,7496
1991-04-30,10777,-5542,28408,18524,7747,620,6162
1991-05-15,5990,-887,31279,18009,12019,3617,4504
1991-05-31,13723,-4994,29737,21583,7860,213,5207
1991-06-14,15984,-6072,42887,33628,17644,1047,7119
1991-06-28,16001,-7823,30644,21327,5326,545,8368
1991-07-15,9125,-5033,27547,15387,6262,2388,7421
1991-07-31,-2526,2048,20593,6441,8967,3620,1572
1991-08-15,-1783,2536,20125,5344,7127,3103,567
1991-08-30,1376,246,20845,9924,8548,1329,1083
1991-09-16,-15549,7767,35446,9562,25111,8565,798
1991-09-30,-15022,8548,24941,1357,16379,8548,0
1991-10-15,3813,-620,21621,9807,5994,2494,3114
1991-10-31,-4698,3162,24630,8924,13622,3648,486
1991-11-15,-13438,8077,31052,6486,19924,8931,854
