date,comm_net,noncomm_net,open_interest,comm_positions_long_all,comm_positions_short_all,noncomm_positions_long_all,noncomm_positions_short_all
1986-01-15,-9028,10883,148186,80962,89990,18589,7706
1986-01-31,-2988,6061,144149,82262,85250,15364,9303
1986-02-14,18095,-6772,139995,94830,76735,5457,12229
1986-02-28,17926,-4231,143752,94126,76200,7991,12222
1986-03-14,7272,1622,142868,85925,78653,12637,11015
1986-03-31,21726,-1589,136568,88897,67171,9817,11406
1986-04-15,31643,-13611,138825,99640,67997,6805,20416
1986-04-30,15959,-2360,132088,88769,72810,8159,10519
1986-05-15,23284,-5726,132147,94944,71660,4649,10375
1986-05-30,21760,-8701,115038,78662,56902,4982,13683
1986-06-13,2616,818,115960,69558,66942,11657,10839
1986-06-30,26010,-8270,120954,88561,62551,5361,13631
1986-07-15,18403,-5248,121925,86078,67675,6735,11983
1986-07-31,-2043,9077,125988,69897,71940,18617,9540
1986-08-15,-15120,12645,134903,67333,82453,23234,10589
1986-08-29,-14969,12938,136959,69541,84510,23229,10291
1986-09-15,-26409,14384,149809,69388,95797,24807,10423
1986-09-30,-27726,14581,136574,57513,85239,22421,7840
1986-10-15,-18928,11035,147411,70584,89512,21274,10239
1986-10-31,-11235,3300,146778,79221,90456,12673,9373
1986-11-14,-7996,3911,150800,86136,94132,15816,11905
1986-11-28,-2135,1299,131679,79143,81278,10148,8849
1986-12-15,-3250,2062,134005,76757,80007,13089,11027
1986-12-31,-4699,1058,140744,81948,86647,9405,8347
1987-01-15,-19558,5916,139318,68344,87902,14063,8147
1987-01-30,-15202,4431,130078,62992,78194,13453,9022
1987-02-13,4494,-6319,138130,81749,77255,7705,14024
1987-02-27,-3765,-4924,140016,81851,85616,7349,12273
1987-03-13,-8049,389,145109,79189,87238,10654,10265
1987-03-31,-29207,8388,156832,74906,104113,18464,10076
1987-04-15,-44082,18254,171395,67566,111648,27260,9006
1987-04-30,-39705,11751,175437,64600,104305,24684,12933
1987-05-15,-70342,26703,170819,55854,126196,32997,6294
1987-05-29,-30398,15562,150964,56420,86818,24267,8705
1987-06-15,-25730,8481,149219,57458,83188,20380,11899
1987-06-30,-14303,3855,146960,63817,78120,15476,11621
1987-07-15,-24967,8618,146076,60840,85807,16101,7483
1987-07-31,-42660,17088,150523,60306,102966,23945,6857
1987-08-14,-31407,8210,150693,63626,95033,18612,10402
1987-08-31,-16518,524,148815,69761,86279,16503,15979
1987-09-15,-23095,3947,146895,70143,93238,16196,12249
1987-09-30,-22116,7102,142634,64861,86977,17083,9981
1987-10-15,-29874,12747,143498,61354,91228,19848,7101
1987-10-30,-14442,5827,133422,65767,80209,15243,9416
1987-11-13,1433,1440,132803,77616,76183,10867,9427
1987-11-30,-19898,15817,152206,72663,92561,24270,8453
1987-12-15,-14661,11621,158831,81462,96123,20912,9291
1987-12-31,-3639,5169,150106,85947,89586,14523,9354
1988-01-15,1728,3481,146350,82475,80747,13275,9794
1988-01-29,24328,-9234,146192,93908,69580,9803,19037
1988-02-12,37038,-22871,150569,106136,69098,3759,26630
1988-02-29,15718,-25740,158223,90624,74906,4067,29807
1988-03-15,9258,-17447,161792,92072,82814,6054,23501
1988-03-31,4187,-18622,148310,79820,75633,5401,24023
1988-04-15,5046,-18950,156961,87218,82172,5491,24441
1988-04-29,33107,-17099,154184,117459,84352,2580,19679
1988-05-13,26893,-8567,153681,113514,86621,4835,13402
1988-05-31,7050,-2747,146461,89780,82730,8320,11067
1988-06-15,7024,-3270,142022,86033,79009,7185,10455
1988-06-30,30527,-18368,151645,101902,71375,4658,23026
1988-07-15,24912,-14092,149809,96018,71106,8779,22871
1988-07-29,30559,-14919,139382,99489,68930,3850,18769
1988-08-15,24059,-13787,139252,96217,72158,4761,18548
1988-08-31,24559,-13510,142631,100622,76063,4905,18415
1988-09-15,42979,-23935,155243,109460,66481,3567,27502
1988-09-30,40012,-28637,156546,113359,73347,4427,33064
1988-10-14,37114,-29270,159467,113352,76238,4517,33787
1988-10-31,38213,-26977,160894,118197,79984,4381,31358
1988-11-15,16958,-7771,148897,101825,84867,8125,15896
1988-11-30,23638,-11746,148286,106343,82705,5517,17263
1988-12-15,28696,-12203,145811,107723,79027,5445,17648
1988-12-30,33809,-14963,152731,112108,78299,6837,21800
1989-01-13,44739,-24161,163937,118240,73501,5233,29394
1989-01-31,57851,-32902,170221,125090,67239,5009,37911
1989-02-15,44998,-27002,168943,120632,75634,5828,32830
1989-02-28,44222,-28038,165774,116638,72416,4394,32432
1989-03-15,27073,-19328,165615,108780,81707,6347,25675
1989-03-31,49040,-30525,163649,120884,71844,3422,33947
1989-04-14,37709,-22922,158340,106915,69206,6079,29001
1989-04-28,51545,-30472,168488,121679,70134,2448,32920
1989-05-15,49403,-24235,188114,136797,87394,6010,30245
1989-05-31,52297,-25471,179513,139249,86952,3414,28885
1989-06-15,35948,-18132,163699,121475,85527,5891,24023
1989-06-30,25238,-13081,157858,111938,86700,8381,21462
1989-07-14,23680,-11791,154241,105367,81687,7662,19453
1989-07-31,36157,-14891,148279,107310,71153,3696,18587
1989-08-15,29262,-14197,147488,104463,75201,6197,20394
1989-08-31,45469,-25374,156595,117348,71879,3477,28851
1989-09-15,31653,-13811,154493,104836,73183,10113,23924
1989-09-29,15100,-11668,147468,97489,82389,5134,16802
1989-10-13,28065,-16561,143681,103066,75001,3906,20467
1989-10-31,-5456,2799,151142,84825,90281,15567,12768
1989-11-15,-24321,13236,153379,71252,95573,22440,9204
1989-11-30,-30706,17936,147759,58418,89124,28985,11049
1989-12-15,-35350,21925,156019,62011,97361,30438,8513
1989-12-29,-16708,14401,150931,74736,91444,22982,8581
1990-01-15,-28156,16544,149393,65795,93951,21782,5238
1990-01-31,-18120,6373,131994,58218,76338,13694,7321
1990-02-15,-22412,14750,130564,53767,76179,20315,5565
1990-02-28,-6211,2976,121920,57161,63372,11965,8989
1990-03-15,-821,-4336,132871,65716,66537,13967,18303
1990-03-30,15981,-12049,116812,66504,50523,9414,21463
1990-04-12,17322,-14071,118177,73591,56269,7110,21181
1990-04-30,21843,-14268,123601,80985,59142,6364,20632
1990-05-15,22934,-14106,118492,75378,52444,5297,19403
1990-05-31,19018,-13477,104625,63869,44851,5233,18710
1990-06-15,33925,-22342,117247,80735,46810,4110,26452
1990-06-29,22603,-15874,112142,73148,50545,4316,20190
1990-07-13,11683,-9336,107275,64335,52652,5878,15214
1990-07-31,-6494,2141,98923,50139,56633,8016,5875
1990-08-15,-32490,16308,125895,43347,75837,23830,7522
1990-08-31,-24045,10295,123147,50615,74660,20892,10597
1990-09-14,-11381,6057,113077,55320,66701,13775,7718
1990-09-28,-38508,21497,116620,42594,81102,24684,3187
1990-10-15,-6558,8731,116656,56851,63409,17794,9063
1990-10-31,405,1582,114534,61123,60718,10974,9392
1990-11-15,5002,-2311,111194,66635,61633,5893,8204
1990-11-30,-1266,1129,101946,58680,59946,7264,6135
1990-12-14,15475,-5751,111586,75789,60314,4781,10532
1990-12-31,-10181,4802,107610,60179,70360,9228,4426
1991-01-15,-24703,11526,118173,53902,78605,17648,6122
1991-01-31,18276,-12258,93496,62619,44343,2044,14302
1991-02-15,24123,-14365,95750,66286,42163,2515,16880
1991-02-28,25298,-14835,98025,68140,42842,1612,16447
1991-03-15,15243,-11757,98708,64098,48855,3111,14868
1991-03-28,32408,-19484,102541,72228,39820,1724,21208
1991-04-15,21696,-14161,97290,65132,43436,4002,18163
1991-04-30,31892,-21410,108217,76391,44499,4300,25710
1991-05-15,14680,-10501,99903,63768,49088,6949,17450
1991-05-31,10394,-9315,91485,54483,44089,8125,17440
1991-06-14,-18153,7867,91953,34066,52219,19823,11956
1991-06-28,-13419,9293,87349,34622,48041,18540,9247
1991-07-15,-18137,10568,95164,36268,54405,19663,9095
1991-07-31,6038,-2805,87490,42988,36950,12649,15454
1991-08-15,28166,-14900,101756,62082,33916,12421,27321
1991-08-30,39703,-24627,107993,73497,33794,7227,31854
1991-09-16,34329,-22133,107449,70495,36166,7736,29869
1991-09-30,15122,-11352,97904,55772,40650,9403,20755
1991-10-15,-4129,1630,92152,44529,48658,11464,9834
1991-10-31,-7020,3563,100311,47307,54327,13595,10032
1991-11-15,5364,-2940,103034,56116,50752,10191,13131
1991-11-29,-40730,28240,115496,34930,75660,32242,4002
1991-12-13,-15050,10479,103659,46254,61304,16792,6313
1991-12-31,13180,-4602,114144,70346,57166,9018,13620
1992-01-15,11772,-4495,104052,60556,48784,11190,15685
1992-01-31,1271,913,102940,54833,53562,13351,12438
1992-02-14,1968,488,100473,52162,50194,13917,13429
1992-02-28,8329,-6227,102931,55362,47033,12912,19139
1992-03-13,13803,-14555,113645,62242,48439,11724,26279
1992-03-31,18127,-12612,103658,60693,42566,10876,23488
1992-04-15,30572,-25112,109312,72591,42019,4260,29372
1992-04-30,22002,-17979,113724,68658,46656,9025,27004
1992-05-15,9307,-8315,109747,61619,52312,10494,18809
1992-05-29,16015,-15869,102788,61668,45653,6295,22164
1992-06-15,-15811,6388,103229,44841,60652,16252,9864
1992-06-30,-14723,3661,91162,36761,51484,13062,9401
1992-07-15,-42480,24150,111763,31806,74286,29782,5632
1992-07-31,-44018,25413,112384,32110,76128,32345,6932
1992-08-14,16349,-13219,102784,60889,44540,6668,19887
1992-08-31,16459,-13651,99349,60763,44304,6194,19845
1992-09-15,6667,-8425,100717,59957,53290,5167,13592
1992-09-30,416,-2500,99191,56577,56161,6206,8706
1992-10-06,-4041,-1977,101946,55250,59291,6573,8550
1992-10-13,6804,-4698,101717,63340,56536,5552,10250
1992-10-20,11977,-8436,99420,64490,52513,3774,12210
1992-10-27,23185,-15305,108776,74709,51524,3248,18553
1992-11-03,23155,-17428,106734,72969,49814,3350,20778
1992-11-10,25925,-22040,116747,76352,50427,5307,27347
1992-11-17,25810,-21220,112935,72936,47126,4157,25377
1992-11-24,23542,-20429,108774,70339,46797,3396,23825
1992-12-01,25588,-22163,98384,64665,39077,2612,24775
1992-12-08,19200,-18698,96886,59900,40700,3555,22253
