date,comm_net,noncomm_net,open_interest,comm_positions_long_all,comm_positions_short_all,noncomm_positions_long_all,noncomm_positions_short_all
1986-01-15,-13099,6953,23231,5234,18333,7668,715
1986-01-31,-23062,13178,31732,2761,25823,14509,1331
1986-02-14,-15179,10317,34452,7023,22202,12512,2195
1986-02-28,-15758,10081,33792,9005,24763,11829,1748
1986-03-14,-25427,14621,47322,12908,38335,18786,4165
1986-03-31,-21531,14669,31305,2650,24181,16358,1689
1986-04-15,-14159,6493,28691,5260,19419,10584,4091
1986-04-30,-25894,17991,38348,3021,28915,20589,2598
1986-05-15,-20267,11251,41423,3951,24218,21080,9829
1986-05-30,-16014,14331,38363,6977,22991,18757,4426
1986-06-13,-17314,9714,44257,21763,39077,11445,1731
1986-06-30,-29950,19552,37443,1342,31292,19761,209
1986-07-15,-39297,25150,55806,8391,47688,25150,0
1986-07-31,-28170,17016,47528,10232,38402,18089,1073
1986-08-15,-9294,7516,42796,15238,24532,12356,4840
1986-08-29,7472,-7391,49571,29260,21788,4774,12165
1986-09-15,13460,-8580,46360,32194,18734,3054,11634
1986-09-30,-12409,6137,30463,8279,20688,7607,1470
1986-10-15,-8546,3011,32044,12210,20756,5164,2153
1986-10-31,14566,-9650,43062,28966,14400,2164,11814
1986-11-14,7236,-6376,40547,24945,17709,2621,8997
1986-11-28,5468,-5903,41052,24090,18622,3366,9269
1986-12-15,12295,-5133,37066,25684,13389,2914,8047
1986-12-31,-7997,3792,23172,6393,14390,5398,1606
1987-01-15,-18542,9264,33067,7143,25685,10555,1291
1987-01-30,-8240,5464,32164,11537,19777,6749,1285
1987-02-13,-10674,6970,30292,8902,19576,9220,2250
1987-02-27,-11915,7544,31988,8991,20906,9321,1777
1987-03-13,-13349,7508,37276,13648,26997,9687,2179
1987-03-31,-24925,15925,43282,7055,31980,18352,2427
1987-04-15,-23025,16273,46438,9677,32702,18351,2078
1987-04-30,-17645,14076,47410,11800,29445,17264,3188
1987-05-15,-13790,10245,44609,14053,27843,12553,2308
1987-05-29,-27,10211,51681,25786,25813,15948,5737
1987-06-15,-2283,6542,40871,18556,20839,8319,1777
1987-06-30,9541,-1234,27969,17129,7588,4612,5846
1987-07-15,5033,-410,35984,13112,8079,6671,7081
1987-07-31,175,2525,38334,13389,13214,8740,6215
1987-08-14,3840,-1868,37320,15426,11586,6665,8533
1987-08-31,-24310,19778,52905,10411,34721,21447,1669
1987-09-15,-1452,2129,40933,19487,20939,8963,6834
1987-09-30,1119,988,37058,18090,16971,5653,4665
1987-10-15,-21923,11807,49237,14501,36424,12992,1185
1987-10-30,-18221,7590,46297,16855,35076,8745,1155
1987-11-13,-13918,6465,52752,24414,38332,8134,1669
1987-11-30,-18215,8903,60299,26687,44902,10972,2069
1987-12-15,-3576,6951,36598,18202,21778,10625,3674
1987-12-31,-15067,6895,42656,9768,24835,11861,4966
1988-01-15,-1606,2330,48605,21534,23140,10284,7954
1988-01-29,-2984,3234,54303,24025,27009,13171,9937
1988-02-12,-1656,4572,53494,28939,30595,7925,3353
1988-02-29,-11359,3311,61820,26861,38220,10397,7086
1988-03-15,-28866,3706,42519,16670,45536,14343,10637
1988-03-31,-28283,14140,53572,10604,38887,17284,3144
1988-04-15,-20032,9896,45478,7738,27770,12841,2945
1988-04-29,-10678,5654,43499,12002,22680,10253,4599
1988-05-13,-13743,4956,51139,15578,29321,10180,5224
1988-05-31,238,-656,49763,21626,21388,8211,8867
1988-06-15,12049,-4490,35732,21503,9454,7397,11887
1988-06-30,8129,-457,42550,19867,11738,10558,11015
1988-07-15,3418,5572,52812,24870,21452,15488,9916
1988-07-29,3016,-1795,49262,23648,20632,8645,10440
1988-08-15,2361,-1073,47371,22164,19803,8873,9946
1988-08-31,24052,-14103,63746,37284,13232,6506,20609
1988-09-15,13489,-7879,57941,38118,24629,4444,12323
1988-09-30,10634,-5782,31690,16545,5911,3808,9590
1988-10-14,-7932,5191,48413,15690,23622,13057,7866
1988-10-31,-9299,6748,48882,16843,26142,12505,5757
1988-11-15,-14857,11532,51272,16197,31054,15632,4100
1988-11-30,-12754,9227,55538,16371,29125,13825,4598
1988-12-15,5314,-792,54094,32477,27163,6000,6792
1988-12-30,12527,-6752,32647,17487,4960,4205,10957
1989-01-13,14742,-6716,38313,22251,7509,3730,10446
1989-01-31,12540,-5254,52064,24368,11828,10704,15958
1989-02-15,-6178,-185,47922,17853,24031,8131,8316
1989-02-28,-4530,-3128,50738,18438,22968,8531,11659
1989-03-15,27185,-18573,49798,29367,2182,7389,25962
1989-03-31,23095,-16706,51867,28226,5131,7714,24420
1989-04-14,12591,-12080,49884,23232,10641,6114,18194
1989-04-28,14548,-11018,52005,27510,12962,5491,16509
1989-05-15,25953,-16140,68747,45360,19407,8017,24157
1989-05-31,16814,-6488,75508,49678,32864,10428,16916
1989-06-15,10497,-860,98730,64000,53503,14367,15227
1989-06-30,11479,-5131,44031,22378,10899,4835,9966
1989-07-14,10627,-5304,45782,26380,15753,5464,10768
1989-07-31,-253,-4128,56683,21775,22028,8440,12568
1989-08-15,14334,-6571,56415,32377,18043,6766,13337
1989-08-31,31532,-16636,73355,50160,18628,5864,22500
1989-09-15,32240,-21004,89914,68979,36739,5839,26843
1989-09-29,575,-1447,52052,25654,25079,6336,7783
1989-10-13,7862,-5302,50655,29210,21348,4452,9754
1989-10-31,12663,-8362,55646,35263,22600,4737,13099
1989-11-15,12633,-4907,59673,35867,23234,7675,12582
1989-11-30,-6712,530,66167,28945,35657,12322,11792
1989-12-15,8864,-7873,59538,37553,28689,4557,12430
1989-12-29,-7109,1182,49960,21579,28688,7739,6557
1990-01-15,14126,-8167,58418,34998,20872,5547,13714
1990-01-31,-6610,-599,62631,29752,36362,8964,9563
