date,comm_net,noncomm_net,open_interest,comm_positions_long_all,comm_positions_short_all,noncomm_positions_long_all,noncomm_positions_short_all
1999-01-05,-1771,1338,2299,0,1771,1338,0
1999-01-12,-2169,1804,2559,0,2169,1804,0
1999-01-19,-1707,1167,2327,303,2010,1167,0
1999-01-26,-1706,1165,2324,303,2009,1165,0
1999-02-02,-1344,1164,2365,659,2003,1164,0
1999-02-09,-1695,1164,2607,510,2205,1164,0
1999-02-16,-1104,709,2404,743,1847,709,0
1999-02-23,-1105,709,2190,743,1848,709,0
1999-03-09,-245,0,2459,1440,1685,0,0
1999-04-20,-750,243,1731,360,1110,243,0
1999-04-27,-749,243,1548,360,1109,243,0
1999-05-04,-1054,375,1669,360,1414,375,0
1999-05-11,-2951,2470,3850,360,3311,2470,0
1999-05-18,-4352,4926,6989,360,4712,5426,500
1999-05-25,-1115,2605,5763,1764,2879,2605,0
1999-06-01,2369,0,4858,3770,1401,0,0
1999-06-08,2328,0,5341,4223,1895,0,0
1999-06-15,1684,0,3419,2489,805,0,0
1999-06-22,1253,0,3511,2489,1236,0,0
1999-06-29,1127,0,3530,2489,1362,0,0
1999-07-06,1256,0,3525,2485,1229,0,0
1999-07-13,1378,0,3640,2607,1229,0,0
1999-07-20,1368,-353,3744,2597,1229,0,353
1999-07-27,1568,-353,3761,2797,1229,0,353
1999-08-03,809,0,3626,2355,1546,0,0
1999-08-10,814,200,3626,2355,1541,200,0
1999-08-17,816,200,3627,2355,1539,200,0
1999-08-24,1453,200,3723,2912,1459,200,0
1999-08-31,2149,-268,3989,3409,1260,0,268
1999-09-07,1957,0,4083,3497,1540,0,0
1999-10-19,661,0,1337,1189,528,0,0
1999-10-26,654,-297,1463,1189,535,0,297
1999-11-02,646,-497,1452,1189,543,0,497
1999-11-09,246,200,1647,1189,943,200,0
1999-11-16,-137,200,1876,1189,1326,200,0
1999-11-23,-140,200,1605,1189,1329,200,0
1999-11-30,62,0,1423,1193,1131,0,0
1999-12-07,60,0,1598,1194,1134,0,0
1999-12-14,773,-520,1356,1127,354,0,520
1999-12-21,265,-247,1248,1032,767,0,247
1999-12-28,259,0,1247,1032,773,0,0
2000-01-04,-49,0,1398,1032,1081,0,0
2000-01-11,-43,0,1313,1037,1080,0,0
2000-01-18,-115,0,1255,965,1080,0,0
2000-01-25,95,0,1384,1122,1027,0,0
2000-02-01,1649,-1377,3835,2339,690,445,1822
2000-02-08,530,-369,2985,1939,1409,445,814
2000-02-15,659,-369,3096,2069,1410,445,814
2000-02-22,532,-369,2963,1942,1410,445,814
2000-02-29,941,-812,3050,2351,1410,0,812
2000-03-07,967,-824,3924,3226,2259,0,824
2000-04-04,992,-597,1989,1294,302,0,597
2003-11-11,-2000,1817,6305,1510,3510,3346,1529
2003-11-18,-3504,3039,7223,1353,4857,4332,1293
2003-11-25,-4334,3693,7996,1533,5867,4893,1200
2004-08-17,-3202,2890,9291,3850,7052,3624,734
2004-10-19,-4842,5649,15619,7668,12510,5649,0
2004-10-26,-6907,7518,17661,7448,14355,7652,134
2004-11-02,-6199,6978,17610,7497,13696,7752,774
2004-11-09,-6391,7027,17189,7076,13467,7684,657
2004-11-16,-7288,7785,17558,6706,13994,8322,537
2004-11-23,-7353,7776,17173,6213,13566,8275,499
2004-11-30,-7028,7198,17378,6338,13366,8206,1008
2004-12-07,-2590,3181,15589,8996,11586,4191,1010
2005-03-08,-6994,5933,11871,3852,10846,5933,0
2005-03-29,-6392,5392,10026,2303,8695,6097,705
2005-04-05,-6286,5352,9820,2167,8453,6057,705
2005-08-16,-4895,4581,9004,3125,8020,4581,0
2005-08-30,-4943,4877,9410,3252,8195,4877,0
2005-09-06,-5559,5251,9596,3051,8610,5251,0
2005-09-13,-6022,5465,11677,4488,10510,5465,0
2005-10-11,-5356,5084,9438,2499,7855,5592,508
2005-10-18,-6068,5700,10099,2353,8421,6208,508
2005-12-06,-7651,6711,12187,2485,10136,7606,895
2005-12-13,-6544,6007,13233,4220,10764,6980,973
2005-12-27,-4860,4441,10731,3366,8226,6328,1887
2006-01-03,-4783,4837,12189,3074,7857,8158,3321
2006-01-10,-3528,3744,13013,3100,6628,8659,4915
2006-01-17,-5096,4827,15026,3060,8156,10337,5510
2006-01-24,-3826,3849,15046,4182,8008,9589,5740
2006-01-31,-3672,3774,15684,5027,8699,9361,5587
2006-02-07,-4111,4101,15200,4838,8949,9120,5019
2006-02-14,-4238,4011,11225,5033,9271,4622,611
2006-02-21,-3571,3623,14603,8017,11588,5109,1486
2006-02-28,-2525,2900,14476,8838,11363,4273,1373
2006-03-07,-1893,2846,17982,12566,14459,4364,1518
2006-03-14,-1663,2603,10702,5389,7052,4349,1746
2006-03-21,-1528,1737,11380,5968,7496,3661,1924
2006-03-28,-622,899,12247,7058,7680,3229,2330
2006-04-04,-376,388,12473,7488,7864,3002,2614
2006-04-11,-2353,2336,12412,7192,9545,3587,1251
2006-04-18,-4088,4472,13154,6320,10408,5272,800
2006-04-25,-4324,4808,12171,4974,9298,5718,910
2006-05-02,-5672,6203,12204,4245,9917,6517,314
2006-05-09,-6122,6886,13736,5278,11400,7284,398
2006-05-16,-6819,7366,14193,5136,11955,7867,501
2006-05-23,-6445,7267,14325,5595,12040,7483,216
2006-05-30,-2343,2828,13244,4459,6802,7614,4786
2006-06-06,-1864,2158,13175,5126,6990,6910,4752
2006-06-13,-2556,2313,22546,13997,16553,7030,4717
2006-07-11,615,-943,14081,8115,7500,4329,5272
2006-07-18,-3440,3568,14948,6189,9629,7204,3636
2006-07-25,-5696,5445,16341,5799,11495,9103,3658
2006-08-01,-8633,8203,18160,5581,14214,10955,2752
2006-08-08,-7674,6945,17327,6233,13907,9468,2523
2006-08-15,-14208,13262,19536,4216,18424,13438,176
2006-08-22,-12658,11491,19886,6022,18680,11787,296
2006-08-29,-11717,10516,18099,5375,17092,10687,171
2006-09-05,-12388,11043,18852,5518,17906,11218,175
2006-09-12,-10172,9511,19320,7865,18037,9750,239
2006-09-19,-13650,12882,17608,2568,16218,13350,468
2006-09-26,-14010,12673,17727,2272,16282,13141,468
2006-10-03,-8530,7775,13426,3043,11573,8391,616
2006-10-10,-11000,10109,15750,2392,13392,11656,1547
2006-10-17,-14730,13802,19759,2503,17233,15075,1273
2006-10-24,-15986,15235,21403,2831,18817,16443,1208
2006-10-31,-13208,12257,18440,2838,16046,13531,1274
2006-11-07,-15115,13919,18916,2362,17477,14371,452
2006-11-14,-11048,10295,15514,2945,13993,10747,452
2006-11-21,-13899,12846,17654,2201,16100,13298,452
2006-11-28,-14268,12923,18078,2259,16527,13682,759
2006-12-05,-15650,14470,19768,2057,17707,15427,957
2006-12-12,-17693,16567,22265,2634,20327,17432,865
2006-12-19,-18968,17889,22440,1690,20658,19129,1240
2006-12-26,-18783,17589,21961,1785,20568,18350,761
2007-01-03,-19217,18352,22855,1894,21111,19054,702
2007-01-09,-15504,14618,20440,3300,18804,15283,665
2007-01-16,-14256,13401,19988,4173,18429,14032,631
2007-01-23,-11684,10195,18687,4745,16429,11450,1255
2007-01-30,-8924,8121,18000,7489,16413,8758,637
2007-02-06,-11064,10121,18326,5773,16837,10592,471
2007-02-13,-13329,12473,19219,4378,17707,12894,421
2007-02-20,-17078,15868,21969,3363,20441,16240,372
2007-02-27,-17601,16506,22779,3423,21024,16798,292
2007-03-06,-14772,14289,21159,4468,19240,14404,115
2007-03-13,-15209,14762,23442,6233,21442,15091,329
2007-03-20,-18726,18856,23099,1806,20532,19735,879
2007-03-27,-22507,22788,27611,2017,24524,23824,1036
2007-04-03,-22529,22525,27025,1912,24441,23361,836
2007-04-10,-20919,20067,25383,1916,22835,21068,1001
2007-04-17,-24220,23097,28672,1772,25992,24198,1101
2007-04-24,-22505,21103,28091,2184,24689,22801,1698
2007-05-01,-18793,17523,25253,3592,22385,18777,1254
2007-05-08,-16683,15255,23617,4251,20934,16416,1161
2007-05-15,-20364,19239,26331,3430,23794,20095,856
2007-05-22,-16897,15807,24381,5054,21951,16607,800
2007-05-29,-15932,14911,23796,5598,21530,15707,796
2007-06-05,-20993,19918,27528,3823,24816,21210,1292
2007-06-12,-27592,26396,55629,24618,52210,27973,1577
2007-06-19,-25322,24316,41113,11530,36852,26386,2070
2007-06-26,-25610,23874,41393,11141,36751,26627,2753
2007-07-03,-24775,22894,41316,11608,36383,25511,2617
2007-07-10,-24553,23250,41167,12028,36581,25480,2230
2007-07-17,-25856,24386,43212,13151,39007,26292,1906
2007-07-24,-28884,27844,46589,13182,42066,30047,2203
2007-07-31,-15002,14264,32233,14162,29164,15457,1193
2007-08-07,-17439,16660,32616,12560,29999,17778,1118
2007-08-14,-15202,14037,31708,12769,27971,16345,2308
2007-08-21,-9742,8885,29542,15189,24931,11912,3027
