date,comm_net,noncomm_net,open_interest,comm_positions_long_all,comm_positions_short_all,noncomm_positions_long_all,noncomm_positions_short_all
1986-01-15,-22892,4207,82722,34323,57215,11687,7480
1986-01-31,-26463,5038,81949,31867,58330,10702,5664
1986-02-14,-21333,2022,82008,32173,53506,9113,7091
1986-02-28,-14529,-200,79008,28492,43021,10355,10555
1986-03-14,-17271,969,74066,25972,43243,8740,7771
1986-03-31,-15863,-1453,78406,27390,43253,8990,10443
1986-04-15,-17226,3050,79567,29117,46343,12005,8955
1986-04-30,-14528,40,73868,26849,41377,7526,7486
1986-05-15,-13381,-895,73890,28687,42068,7598,8493
1986-05-30,-17415,2457,75216,27548,44963,10377,7920
1986-06-13,-21913,5131,74855,26198,48111,12768,7637
1986-06-30,-13935,-974,64478,23455,37390,5425,6399
1986-07-15,-14703,-2376,65294,25286,39989,4965,7341
1986-07-31,-19245,955,71238,28170,47415,7086,6131
1986-08-15,-28704,8013,77588,28769,57473,11302,3289
1986-08-29,-24582,6529,67835,22803,47385,9953,3424
1986-09-15,-30005,11452,87271,30527,60532,16365,4913
1986-09-30,-25597,7289,73895,24420,50017,12097,4808
1986-10-15,-25327,7676,84548,34310,59637,12235,4559
1986-10-31,-28742,9052,89998,35952,64694,13490,4438
1986-11-14,-30792,8332,98214,37460,68252,13833,5501
1986-11-28,-24673,4534,90952,37768,62441,8485,3951
1986-12-15,-24589,5415,89252,37890,62479,8741,3326
1986-12-31,-23820,3945,89822,38363,62183,8638,4693
1987-01-15,-28833,6314,93470,40135,68968,9986,3672
1987-01-30,-28762,6393,95672,42118,70880,10122,3729
1987-02-13,-22988,4741,94609,46162,69150,8984,4243
1987-02-27,-23541,3312,89438,42742,66283,9873,6561
1987-03-13,-27320,7236,92735,38289,65609,12775,5539
1987-03-31,-38506,12652,100751,31384,69890,19625,6973
1987-04-15,-35048,12231,111131,34507,69555,20923,8692
1987-04-30,-26925,8743,108882,36283,63208,15262,6519
1987-05-15,-30349,13289,99902,33818,64167,19916,6627
1987-05-29,-26432,4860,93803,32023,58455,11438,6578
1987-06-15,-28675,9520,92473,32380,61055,13384,3864
