epoch,price,last_digit
1780815936,10165.18,8
1780815937,10165.36,6
1780815938,10165.19,9
1780815939,10165.33,3
1780815940,10165.26,6
1780815941,10165.12,2
1780815942,10164.89,9
1780815943,10165.04,4
1780815944,10164.71,1
1780815945,10164.66,6
1780815946,10164.53,3
1780815947,10164.35,5
1780815948,10164.25,5
1780815949,10164.04,4
1780815950,10164.09,9
1780815951,10163.76,6
1780815952,10163.63,3
1780815953,10163.56,6
1780815954,10163.48,8
1780815955,10163.48,8
1780815956,10163.27,7
1780815957,10163.51,1
1780815958,10163.62,2
1780815959,10163.87,7
1780815960,10163.61,1
1780815961,10163.36,6
1780815962,10163.29,9
1780815963,10163.14,4
1780815964,10163.17,7
1780815965,10163.10,0
1780815966,10162.99,9
1780815967,10163.06,6
1780815968,10162.94,4
1780815969,10162.99,9
1780815970,10163.01,1
1780815971,10163.23,3
1780815972,10162.84,4
1780815973,10162.88,8
1780815974,10162.99,9
1780815975,10162.97,7
1780815976,10162.52,2
1780815977,10162.48,8
1780815978,10162.49,9
1780815979,10162.23,3
1780815980,10162.49,9
1780815981,10162.47,7
1780815982,10162.64,4
1780815983,10162.69,9
1780815984,10162.90,0
1780815985,10162.90,0
1780815986,10162.92,2
1780815987,10162.98,8
1780815988,10163.05,5
1780815989,10163.22,2
1780815990,10163.15,5
1780815991,10163.52,2
1780815992,10163.42,2
1780815993,10163.40,0
1780815994,10163.61,1
1780815995,10163.45,5
1780815996,10163.25,5
1780815997,10163.21,1
1780815998,10163.46,6
1780815999,10163.43,3
1780816000,10163.53,3
1780816001,10163.55,5
1780816002,10163.48,8
1780816003,10163.41,1
1780816004,10163.36,6
1780816005,10163.36,6
1780816006,10163.33,3
1780816007,10163.35,5
1780816008,10163.34,4
1780816009,10163.29,9
1780816010,10163.12,2
1780816011,10163.46,6
1780816012,10163.46,6
1780816013,10163.06,6
1780816014,10163.19,9
1780816015,10163.07,7
1780816016,10163.07,7
1780816017,10163.08,8
1780816018,10163.06,6
1780816019,10162.91,1
1780816020,10162.83,3
1780816021,10162.66,6
1780816022,10162.75,5
1780816023,10162.80,0
1780816024,10163.00,0
1780816025,10163.13,3
1780816026,10162.90,0
1780816027,10162.61,1
1780816028,10162.45,5
1780816029,10162.40,0
1780816030,10162.23,3
1780816031,10162.18,8
1780816032,10161.85,5
1780816033,10161.65,5
1780816034,10161.55,5
1780816035,10161.61,1
