epoch,price,last_digit
1780810934,4880.272,2
1780810936,4880.098,8
1780810938,4879.827,7
1780810940,4879.582,2
1780810942,4879.531,1
1780810944,4879.551,1
1780810946,4879.656,6
1780810948,4879.803,3
1780810950,4879.758,8
1780810952,4880.000,0
1780810954,4879.895,5
1780810956,4879.753,3
1780810958,4879.729,9
1780810960,4879.726,6
1780810962,4879.694,4
1780810964,4879.678,8
1780810966,4879.647,7
1780810968,4879.502,2
1780810970,4879.496,6
1780810972,4879.581,1
1780810974,4879.473,3
1780810976,4879.513,3
1780810978,4879.404,4
1780810980,4879.596,6
1780810982,4879.968,8
1780810984,4880.222,2
1780810986,4880.142,2
1780810988,4880.298,8
1780810990,4880.455,5
1780810992,4880.431,1
1780810994,4880.539,9
1780810996,4880.423,3
1780810998,4880.426,6
1780811000,4880.290,0
1780811002,4880.107,7
1780811004,4880.199,9
1780811006,4880.321,1
1780811008,4880.256,6
1780811010,4880.189,9
1780811012,4880.372,2
1780811014,4880.157,7
1780811016,4880.114,4
1780811018,4880.159,9
1780811020,4880.246,6
1780811022,4880.432,2
1780811024,4880.656,6
1780811026,4880.647,7
1780811028,4880.611,1
1780811030,4880.550,0
1780811032,4880.408,8
1780811034,4880.429,9
1780811036,4880.649,9
1780811038,4880.407,7
1780811040,4880.311,1
1780811042,4880.137,7
1780811044,4880.218,8
1780811046,4880.139,9
1780811048,4879.971,1
1780811050,4879.845,5
1780811052,4879.626,6
1780811054,4879.552,2
1780811056,4879.397,7
1780811058,4879.465,5
1780811060,4879.265,5
1780811062,4879.132,2
1780811064,4878.905,5
1780811066,4878.972,2
1780811068,4878.940,0
1780811070,4878.646,6
1780811072,4878.592,2
1780811074,4878.748,8
1780811076,4878.738,8
1780811078,4878.715,5
1780811080,4878.733,3
1780811082,4878.586,6
1780811084,4878.656,6
1780811086,4878.721,1
1780811088,4878.685,5
1780811090,4878.791,1
1780811092,4878.875,5
1780811094,4878.911,1
1780811096,4878.943,3
1780811098,4879.003,3
1780811100,4878.990,0
1780811102,4878.809,9
1780811104,4878.789,9
1780811106,4878.587,7
1780811108,4878.537,7
1780811110,4878.638,8
1780811112,4878.939,9
1780811114,4878.998,8
1780811116,4878.872,2
1780811118,4878.682,2
1780811120,4878.663,3
1780811122,4878.666,6
1780811124,4878.548,8
1780811126,4878.490,0
1780811128,4878.608,8
1780811130,4878.616,6
1780811132,4878.547,7
1780811134,4878.619,9
1780811136,4878.497,7
1780811138,4878.525,5
1780811140,4878.667,7
1780811142,4878.551,1
1780811144,4878.567,7
1780811146,4878.463,3
1780811148,4878.247,7
1780811150,4878.119,9
1780811152,4878.162,2
1780811154,4878.082,2
1780811156,4878.139,9
1780811158,4878.118,8
1780811160,4878.098,8
1780811162,4877.929,9
1780811164,4877.810,0
1780811166,4877.706,6
1780811168,4877.712,2
1780811170,4877.723,3
1780811172,4877.556,6
1780811174,4877.545,5
1780811176,4877.733,3
1780811178,4877.722,2
1780811180,4877.669,9
1780811182,4877.884,4
1780811184,4877.999,9
1780811186,4878.120,0
1780811188,4878.063,3
1780811190,4877.854,4
1780811192,4878.157,7
1780811194,4878.225,5
1780811196,4878.163,3
1780811198,4878.299,9
1780811200,4878.296,6
1780811202,4878.179,9
1780811204,4878.220,0
1780811206,4878.230,0
1780811208,4878.006,6
1780811210,4878.074,4
1780811212,4877.934,4
1780811214,4877.933,3
1780811216,4877.779,9
1780811218,4877.804,4
1780811220,4877.999,9
1780811222,4877.927,7
1780811224,4877.811,1
1780811226,4877.727,7
1780811228,4877.533,3
1780811230,4877.668,8
1780811232,4877.742,2
1780811234,4877.860,0
1780811236,4878.046,6
1780811238,4877.805,5
1780811240,4877.635,5
1780811242,4877.864,4
1780811244,4877.748,8
1780811246,4877.742,2
1780811248,4877.872,2
1780811250,4877.824,4
1780811252,4877.800,0
1780811254,4877.680,0
1780811256,4877.671,1
1780811258,4877.831,1
1780811260,4877.772,2
1780811262,4877.777,7
1780811264,4877.610,0
1780811266,4877.512,2
1780811268,4877.681,1
1780811270,4877.532,2
1780811272,4877.487,7
1780811274,4877.458,8
1780811276,4877.703,3
1780811278,4877.556,6
1780811280,4877.511,1
1780811282,4877.494,4
1780811284,4877.370,0
1780811286,4877.519,9
1780811288,4877.927,7
1780811290,4877.861,1
1780811292,4877.849,9
1780811294,4877.830,0
1780811296,4877.960,0
1780811298,4877.998,8
1780811300,4878.010,0
1780811302,4878.182,2
1780811304,4878.473,3
1780811306,4878.427,7
1780811308,4878.430,0
1780811310,4878.380,0
1780811312,4878.530,0
1780811314,4878.691,1
1780811316,4878.522,2
1780811318,4878.328,8
1780811320,4878.390,0
1780811322,4878.389,9
1780811324,4878.351,1
1780811326,4878.506,6
1780811328,4878.302,2
1780811330,4878.234,4
1780811332,4878.393,3
1780811334,4878.471,1
1780811336,4878.391,1
1780811338,4878.607,7
1780811340,4878.667,7
1780811342,4878.589,9
1780811344,4878.909,9
1780811346,4879.111,1
1780811348,4879.235,5
1780811350,4879.324,4
1780811352,4879.171,1
1780811354,4879.081,1
1780811356,4879.097,7
1780811358,4878.943,3
1780811360,4879.015,5
1780811362,4878.900,0
1780811364,4878.985,5
1780811366,4878.954,4
1780811368,4879.017,7
1780811370,4879.111,1
1780811372,4879.180,0
1780811374,4879.047,7
1780811376,4878.968,8
1780811378,4878.813,3
1780811380,4878.798,8
1780811382,4878.717,7
1780811384,4878.701,1
1780811386,4878.726,6
1780811388,4878.600,0
1780811390,4878.660,0
1780811392,4878.672,2
1780811394,4878.570,0
1780811396,4878.659,9
1780811398,4878.595,5
1780811400,4878.514,4
1780811402,4878.717,7
1780811404,4878.721,1
1780811406,4878.785,5
1780811408,4878.898,8
1780811410,4878.788,8
1780811412,4879.109,9
1780811414,4879.230,0
1780811416,4879.101,1
1780811418,4878.986,6
1780811420,4878.993,3
1780811422,4879.139,9
1780811424,4879.252,2
1780811426,4879.378,8
1780811428,4879.564,4
1780811430,4879.588,8
1780811432,4879.565,5
1780811434,4879.516,6
1780811436,4879.552,2
1780811438,4879.407,7
1780811440,4879.475,5
1780811442,4879.244,4
1780811444,4879.017,7
1780811446,4879.113,3
1780811448,4879.085,5
1780811450,4878.885,5
1780811452,4878.923,3
1780811454,4879.049,9
1780811456,4879.091,1
1780811458,4879.068,8
1780811460,4879.282,2
1780811462,4879.252,2
1780811464,4879.321,1
1780811466,4879.302,2
1780811468,4879.419,9
1780811470,4879.288,8
1780811472,4879.272,2
1780811474,4879.523,3
1780811476,4879.420,0
1780811478,4879.554,4
1780811480,4879.496,6
1780811482,4879.505,5
1780811484,4879.343,3
1780811486,4879.381,1
1780811488,4879.479,9
1780811490,4879.362,2
1780811492,4879.349,9
1780811494,4879.351,1
1780811496,4879.351,1
1780811498,4879.222,2
1780811500,4878.986,6
1780811502,4878.979,9
1780811504,4879.172,2
1780811506,4879.269,9
1780811508,4879.113,3
1780811510,4879.322,2
1780811512,4879.274,4
1780811514,4879.296,6
1780811516,4879.117,7
1780811518,4879.059,9
1780811520,4879.070,0
1780811522,4879.201,1
1780811524,4879.106,6
1780811526,4878.963,3
1780811528,4878.898,8
1780811530,4878.725,5
1780811532,4878.866,6
1780811534,4878.786,6
1780811536,4878.700,0
1780811538,4878.675,5
1780811540,4878.692,2
1780811542,4878.859,9
1780811544,4878.864,4
1780811546,4878.959,9
1780811548,4878.938,8
1780811550,4879.030,0
1780811552,4879.020,0
1780811554,4879.140,0
1780811556,4879.027,7
1780811558,4878.895,5
1780811560,4879.002,2
1780811562,4879.050,0
1780811564,4878.987,7
1780811566,4878.631,1
1780811568,4878.601,1
1780811570,4878.570,0
1780811572,4878.611,1
1780811574,4878.557,7
1780811576,4878.606,6
1780811578,4878.577,7
1780811580,4878.689,9
1780811582,4878.585,5
1780811584,4878.499,9
1780811586,4878.419,9
1780811588,4878.546,6
1780811590,4878.340,0
1780811592,4878.429,9
1780811594,4878.342,2
1780811596,4878.354,4
1780811598,4878.261,1
1780811600,4878.077,7
1780811602,4878.106,6
1780811604,4878.063,3
1780811606,4878.338,8
1780811608,4878.360,0
1780811610,4878.578,8
1780811612,4878.474,4
1780811614,4878.386,6
1780811616,4878.416,6
1780811618,4878.465,5
1780811620,4878.449,9
1780811622,4878.575,5
1780811624,4878.392,2
1780811626,4878.313,3
1780811628,4878.300,0
1780811630,4878.168,8
1780811632,4878.295,5
1780811634,4878.260,0
1780811636,4878.357,7
1780811638,4878.399,9
1780811640,4878.383,3
