symbol,contract,barrier,p_win,stake,payout,payout_mult,ev_per_10,house_edge_pct
R_100,DIGITOVER,0,0.9,10.0,10.87,1.087,-0.217,2.17
R_100,DIGITOVER,1,0.8,10.0,12.2,1.22,-0.24,2.4
R_100,DIGITOVER,2,0.7,10.0,13.89,1.389,-0.277,2.77
R_100,DIGITOVER,3,0.6,10.0,16.13,1.613,-0.322,3.22
R_100,DIGITOVER,4,0.5,10.0,19.23,1.923,-0.385,3.85
R_100,DIGITOVER,5,0.4,10.0,23.81,2.381,-0.476,4.76
R_100,DIGITOVER,6,0.3,10.0,31.25,3.125,-0.625,6.25
R_100,DIGITOVER,7,0.2,10.0,45.45,4.545,-0.91,9.1
R_100,DIGITOVER,8,0.1,10.0,83.33,8.333,-1.667,16.67
R_100,DIGITUNDER,1,0.1,10.0,83.33,8.333,-1.667,16.67
R_100,DIGITUNDER,2,0.2,10.0,45.45,4.545,-0.91,9.1
R_100,DIGITUNDER,3,0.3,10.0,31.25,3.125,-0.625,6.25
R_100,DIGITUNDER,4,0.4,10.0,23.81,2.381,-0.476,4.76
R_100,DIGITUNDER,5,0.5,10.0,19.23,1.923,-0.385,3.85
R_100,DIGITUNDER,6,0.6,10.0,16.13,1.613,-0.322,3.22
R_100,DIGITUNDER,7,0.7,10.0,13.89,1.389,-0.277,2.77
R_100,DIGITUNDER,8,0.8,10.0,12.2,1.22,-0.24,2.4
R_100,DIGITUNDER,9,0.9,10.0,10.87,1.087,-0.217,2.17
R_100,DIGITEVEN,,0.5,10.0,19.23,1.923,-0.385,3.85
R_100,DIGITODD,,0.5,10.0,19.23,1.923,-0.385,3.85
R_100,DIGITMATCH,0,0.1,10.0,83.33,8.333,-1.667,16.67
R_100,DIGITMATCH,1,0.1,10.0,83.33,8.333,-1.667,16.67
R_100,DIGITMATCH,2,0.1,10.0,83.33,8.333,-1.667,16.67
R_100,DIGITMATCH,3,0.1,10.0,83.33,8.333,-1.667,16.67
R_100,DIGITMATCH,4,0.1,10.0,83.33,8.333,-1.667,16.67
R_100,DIGITMATCH,5,0.1,10.0,83.33,8.333,-1.667,16.67
R_100,DIGITMATCH,6,0.1,10.0,83.33,8.333,-1.667,16.67
R_100,DIGITMATCH,7,0.1,10.0,83.33,8.333,-1.667,16.67
R_100,DIGITMATCH,8,0.1,10.0,83.33,8.333,-1.667,16.67
R_100,DIGITMATCH,9,0.1,10.0,83.33,8.333,-1.667,16.67
R_100,DIGITDIFF,0,0.9,10.0,10.87,1.087,-0.217,2.17
R_10,DIGITOVER,0,0.9,10.0,10.93,1.093,-0.163,1.63
R_10,DIGITOVER,1,0.8,10.0,12.27,1.227,-0.184,1.84
R_10,DIGITOVER,2,0.7,10.0,13.99,1.399,-0.207,2.07
R_10,DIGITOVER,3,0.6,10.0,16.26,1.626,-0.244,2.44
R_10,DIGITOVER,4,0.5,10.0,19.42,1.942,-0.29,2.9
R_10,DIGITOVER,5,0.4,10.0,24.1,2.41,-0.36,3.6
R_10,DIGITOVER,6,0.3,10.0,31.75,3.175,-0.475,4.75
R_10,DIGITOVER,7,0.2,10.0,46.51,4.651,-0.698,6.98
R_10,DIGITOVER,8,0.1,10.0,86.96,8.696,-1.304,13.04
R_10,DIGITUNDER,1,0.1,10.0,86.96,8.696,-1.304,13.04
R_10,DIGITUNDER,2,0.2,10.0,46.51,4.651,-0.698,6.98
R_10,DIGITUNDER,3,0.3,10.0,31.75,3.175,-0.475,4.75
R_10,DIGITUNDER,4,0.4,10.0,24.1,2.41,-0.36,3.6
