i,symbol,contract,barrier,entry_time,entry_spot,entry_digit,exit_time,exit_spot,exit_digit,is_win,profit
0,1HZ100V,DIGITEVEN,,1780822772,717.35,5,1780822772,717.35,5,0,-0.5
1,1HZ100V,DIGITEVEN,,1780822773,717.05,5,1780822773,717.05,5,0,-0.5
2,1HZ100V,DIGITEVEN,,1780822774,716.86,6,1780822774,716.86,6,1,0.4765
3,1HZ100V,DIGITEVEN,,1780822775,716.88,8,1780822775,716.88,8,1,0.4765
4,1HZ100V,DIGITEVEN,,1780822776,717.03,3,1780822776,717.03,3,0,-0.5
5,1HZ100V,DIGITEVEN,,1780822777,717.08,8,1780822777,717.08,8,1,0.4765
6,1HZ100V,DIGITEVEN,,1780822778,717.03,3,1780822778,717.03,3,0,-0.5
7,1HZ100V,DIGITEVEN,,1780822779,717.12,2,1780822779,717.12,2,1,0.4765
8,1HZ100V,DIGITEVEN,,1780822780,717.03,3,1780822780,717.03,3,0,-0.5
9,1HZ100V,DIGITEVEN,,1780822781,717.16,6,1780822781,717.16,6,1,0.4765
10,1HZ100V,DIGITEVEN,,1780822782,717.07,7,1780822782,717.07,7,0,-0.5
11,1HZ100V,DIGITEVEN,,1780822783,716.94,4,1780822783,716.94,4,1,0.4765
12,1HZ100V,DIGITEVEN,,1780822784,716.84,4,1780822784,716.84,4,1,0.4765
13,1HZ100V,DIGITEVEN,,1780822785,716.77,7,1780822785,716.77,7,0,-0.5
14,1HZ100V,DIGITEVEN,,1780822786,716.51,1,1780822786,716.51,1,0,-0.5
15,1HZ100V,DIGITEVEN,,1780822787,716.57,7,1780822787,716.57,7,0,-0.5
16,1HZ100V,DIGITEVEN,,1780822788,716.6,0,1780822788,716.6,0,1,0.4765
17,1HZ100V,DIGITEVEN,,1780822789,716.8,0,1780822789,716.8,0,1,0.4765
18,1HZ100V,DIGITEVEN,,1780822790,716.62,2,1780822790,716.62,2,1,0.4765
19,1HZ100V,DIGITEVEN,,1780822791,716.88,8,1780822791,716.88,8,1,0.4765
20,1HZ100V,DIGITEVEN,,1780822792,716.96,6,1780822792,716.96,6,1,0.4765
21,1HZ100V,DIGITEVEN,,1780822793,716.84,4,1780822793,716.84,4,1,0.4765
22,1HZ100V,DIGITEVEN,,1780822794,716.84,4,1780822794,716.84,4,1,0.4765
23,1HZ100V,DIGITEVEN,,1780822795,716.7,0,1780822795,716.7,0,1,0.4765
24,1HZ100V,DIGITEVEN,,1780822796,716.46,6,1780822796,716.46,6,1,0.4765
25,1HZ100V,DIGITEVEN,,1780822797,716.6,0,1780822797,716.6,0,1,0.4765
26,1HZ100V,DIGITEVEN,,1780822798,716.71,1,1780822798,716.71,1,0,-0.5
27,1HZ100V,DIGITEVEN,,1780822799,716.9,0,1780822799,716.9,0,1,0.4765
28,1HZ100V,DIGITEVEN,,1780822800,717.16,6,1780822800,717.16,6,1,0.4765
29,1HZ100V,DIGITEVEN,,1780822801,717.19,9,1780822801,717.19,9,0,-0.5
30,1HZ100V,DIGITEVEN,,1780822802,717.28,8,1780822802,717.28,8,1,0.4765
