i,symbol,contract,barrier,entry_time,entry_spot,entry_digit,exit_time,exit_spot,exit_digit,is_win,profit
0,1HZ100V,DIGITOVER,0,1780823099,717.43,3,1780823099,717.43,3,1,0.048
1,1HZ100V,DIGITOVER,0,1780823100,717.51,1,1780823100,717.51,1,1,0.048
2,1HZ100V,DIGITOVER,0,1780823101,717.39,9,1780823101,717.39,9,1,0.048
3,1HZ100V,DIGITOVER,0,1780823102,717.33,3,1780823102,717.33,3,1,0.048
4,1HZ100V,DIGITOVER,0,1780823103,717.24,4,1780823103,717.24,4,1,0.048
5,1HZ100V,DIGITOVER,0,1780823104,717.29,9,1780823104,717.29,9,1,0.048
6,1HZ100V,DIGITOVER,0,1780823105,717.13,3,1780823105,717.13,3,1,0.048
7,1HZ100V,DIGITOVER,0,1780823106,717.14,4,1780823106,717.14,4,1,0.048
8,1HZ100V,DIGITOVER,0,1780823107,717.21,1,1780823107,717.21,1,1,0.048
9,1HZ100V,DIGITOVER,0,1780823108,717.05,5,1780823108,717.05,5,1,0.048
10,1HZ100V,DIGITOVER,0,1780823109,717.21,1,1780823109,717.21,1,1,0.048
11,1HZ100V,DIGITOVER,0,1780823110,717.3,0,1780823110,717.3,0,0,-0.5
12,1HZ100V,DIGITOVER,0,1780823111,717.5,0,1780823111,717.5,0,0,-0.5
13,1HZ100V,DIGITOVER,0,1780823112,717.41,1,1780823112,717.41,1,1,0.048
14,1HZ100V,DIGITOVER,0,1780823113,717.13,3,1780823113,717.13,3,1,0.048
15,1HZ100V,DIGITOVER,0,1780823114,717.19,9,1780823114,717.19,9,1,0.048
16,1HZ100V,DIGITOVER,0,1780823115,717.1,0,1780823115,717.1,0,0,-0.5
17,1HZ100V,DIGITOVER,0,1780823116,717.07,7,1780823116,717.07,7,1,0.048
18,1HZ100V,DIGITOVER,0,1780823117,717.21,1,1780823117,717.21,1,1,0.048
19,1HZ100V,DIGITOVER,0,1780823118,717.25,5,1780823118,717.25,5,1,0.048
20,1HZ100V,DIGITOVER,0,1780823119,717.25,5,1780823119,717.25,5,1,0.048
21,1HZ100V,DIGITOVER,0,1780823120,717.28,8,1780823120,717.28,8,1,0.048
22,1HZ100V,DIGITOVER,0,1780823121,717.15,5,1780823121,717.15,5,1,0.048
23,1HZ100V,DIGITOVER,0,1780823122,717.2,0,1780823122,717.2,0,0,-0.5
24,1HZ100V,DIGITOVER,0,1780823123,717.24,4,1780823123,717.24,4,1,0.048
25,1HZ100V,DIGITOVER,0,1780823127,717.18,8,1780823127,717.18,8,1,0.048
