ts,sym,digit,sigma,ct,bar,p,ev,stake,rtt_ms,cid,status,pnl,lag
11:39:59,JD100,,3.984,DIGITOVER,4,0.5219,0.0194,0.43,131,3617669599,won,0.35,1
11:40:01,JD100,,3.984,DIGITOVER,4,0.5239,0.0231,0.43,155,3617670379,lost,-0.43,1
11:40:03,JD100,,3.983,DIGITUNDER,5,0.5238,0.0231,0.43,128,3617671879,lost,-0.43,1
11:40:05,JD100,,3.982,DIGITUNDER,5,0.5205,0.0166,0.43,129,3617678619,won,0.35,1
11:40:07,JD100,,3.981,DIGITUNDER,5,0.5205,0.0166,0.43,157,3617679579,won,0.35,1
11:40:09,JD100,,3.988,DIGITUNDER,5,0.5205,0.0166,0.43,152,3617680759,won,0.35,1
11:40:11,JD100,,3.985,DIGITUNDER,5,0.5238,0.0230,0.43,157,3617681859,won,0.35,1
11:40:13,JD100,,3.982,DIGITOVER,4,0.5206,0.0167,0.43,132,3617684479,won,0.35,1
11:40:15,JD100,,3.982,DIGITOVER,4,0.5219,0.0193,0.43,133,3617685739,lost,-0.43,1
11:40:17,JD100,,3.984,DIGITUNDER,5,0.5206,0.0167,0.43,141,3617688059,lost,-0.43,1
11:40:20,JD100,,3.990,DIGITUNDER,5,0.5219,0.0193,0.44,111,3617690739,lost,-0.44,1
11:40:22,JD100,,3.989,DIGITUNDER,5,0.5205,0.0166,0.44,136,3617692999,lost,-0.44,1
11:40:24,JD100,,3.992,DIGITUNDER,5,0.5219,0.0192,0.43,120,3617695179,lost,-0.43,1
11:40:26,JD100,,3.992,DIGITUNDER,5,0.5219,0.0192,0.43,126,3617697779,lost,-0.43,1
11:40:28,JD100,,3.993,DIGITUNDER,5,0.5219,0.0192,0.43,128,3617700159,won,0.35,1
11:40:30,JD100,,3.994,DIGITOVER,4,0.5219,0.0192,0.43,186,3617702959,lost,-0.43,1
11:40:32,JD100,,3.991,DIGITUNDER,5,0.5219,0.0192,0.43,128,3617704939,won,0.35,1
11:40:34,JD100,,3.990,DIGITUNDER,5,0.5238,0.0231,0.43,161,3617705899,won,0.35,1
11:40:36,JD100,,3.990,DIGITUNDER,5,0.5219,0.0192,0.43,128,3617707579,lost,-0.43,1
11:40:38,JD100,,3.992,DIGITOVER,4,0.5219,0.0192,0.43,131,3617708699,lost,-0.43,1
11:40:40,JD100,,3.993,DIGITUNDER,5,0.5219,0.0192,0.43,147,3617710159,lost,-0.43,1
11:40:42,JD100,,3.996,DIGITOVER,4,0.5205,0.0165,0.43,193,3617711299,won,0.35,1
11:40:44,JD100,,3.996,DIGITOVER,4,0.5238,0.0230,0.43,125,3617712659,won,0.35,1
11:40:46,JD100,,4.001,DIGITOVER,4,0.5205,0.0166,0.43,147,3617713559,won,0.35,1
11:40:48,JD100,,4.001,DIGITOVER,4,0.5239,0.0231,0.43,132,3617715099,won,0.35,1
11:40:51,JD100,,4.007,DIGITOVER,4,0.5219,0.0193,0.43,148,3617716079,won,0.35,1
11:40:53,JD100,,4.007,DIGITOVER,4,0.5205,0.0166,0.43,154,3617717619,won,0.35,1
11:40:55,JD100,,4.006,DIGITOVER,4,0.5205,0.0166,0.43,149,3617718559,lost,-0.43,1
11:40:57,JD100,,4.009,DIGITUNDER,5,0.5239,0.0232,0.43,131,3617720939,lost,-0.43,1
11:40:59,JD100,,4.010,DIGITOVER,4,0.5205,0.0166,0.43,141,3617722779,won,0.35,1
11:41:01,JD100,,4.010,DIGITOVER,4,0.5239,0.0231,0.43,193,3617723999,lost,-0.43,1
11:41:03,JD100,,4.008,DIGITOVER,4,0.5205,0.0166,0.43,145,3617726339,lost,-0.43,1
11:41:05,JD100,,4.007,DIGITUNDER,5,0.5205,0.0166,0.43,139,3617727699,lost,-0.43,1
11:41:07,JD100,,4.008,DIGITOVER,4,0.5239,0.0231,0.43,150,3617728879,lost,-0.43,1
11:41:09,JD100,,4.008,DIGITUNDER,5,0.5218,0.0192,0.43,145,3617730019,lost,-0.43,1
11:41:11,JD100,,4.008,DIGITUNDER,5,0.5205,0.0165,0.43,122,3617732099,won,0.35,1
