ts,sym,digit,sigma,ct,bar,p,ev,stake,rtt_ms,cid,status,pnl,lag
10:24:13,JD100,,3.977,DIGITOVER,5,0.4227,0.0259,0.64,112,3611485039,lost,-0.64,1
10:24:15,JD100,,3.978,DIGITUNDER,6,0.6210,0.0147,0.64,110,3611486479,lost,-0.64,1
10:24:17,JD100,,3.978,DIGITOVER,7,0.2152,0.0152,0.64,125,3611487479,lost,-0.64,1
10:24:19,JD100,,3.976,DIGITUNDER,4,0.4210,0.0218,0.64,89,3611489599,won,0.78,1
10:24:21,JD100,,3.974,DIGITUNDER,4,0.4210,0.0218,0.64,173,3611492539,lost,-0.64,1
10:24:23,JD100,,3.972,DIGITOVER,6,0.3209,0.0285,0.64,120,3611494259,lost,-0.64,1
10:24:25,JD100,,3.972,DIGITUNDER,3,0.3162,0.0133,0.64,94,3611495179,lost,-0.64,1
10:24:27,JD100,,3.973,DIGITOVER,5,0.4227,0.0259,0.64,115,3611497159,won,0.78,1
10:24:29,JD100,,3.973,DIGITOVER,6,0.3209,0.0285,0.64,112,3611498059,won,1.19,1
10:24:31,JD100,,3.973,DIGITOVER,5,0.4227,0.0259,0.64,146,3611499559,won,0.78,1
10:24:34,JD100,,3.981,DIGITOVER,6,0.3209,0.0286,0.64,125,3611500559,lost,-0.64,1
10:24:36,JD100,,3.985,DIGITOVER,4,0.5229,0.0212,0.64,112,3611501739,won,0.52,1
10:24:38,JD100,,3.985,DIGITOVER,5,0.4227,0.0260,0.64,747,3611505019,won,0.78,1
10:24:40,JD100,,3.988,DIGITOVER,7,0.2152,0.0152,0.64,379,3611507759,won,1.92,1
10:24:42,JD100,,3.988,DIGITOVER,6,0.3209,0.0286,0.64,160,3611508639,won,1.19,1
10:24:44,JD100,,3.993,DIGITOVER,5,0.4228,0.0261,0.64,121,3611509779,won,0.78,1
10:24:46,JD100,,3.993,DIGITOVER,6,0.3210,0.0287,0.63,103,3611510799,lost,-0.63,1
10:24:48,JD100,,3.991,DIGITUNDER,3,0.3162,0.0135,0.63,133,3611512099,lost,-0.63,1
10:24:50,JD100,,3.988,DIGITOVER,4,0.5230,0.0213,0.64,105,3611513879,won,0.52,1
10:24:52,JD100,,3.988,DIGITOVER,4,0.5230,0.0213,0.64,126,3611514919,lost,-0.64,1
10:24:54,JD100,,3.989,DIGITUNDER,4,0.4211,0.0219,0.64,146,3611515959,lost,-0.64,1
10:24:56,JD100,,3.988,DIGITOVER,4,0.5230,0.0214,0.64,124,3611519119,lost,-0.64,1
10:24:58,JD100,,3.988,DIGITUNDER,6,0.6211,0.0148,0.64,131,3611520619,lost,-0.64,1
10:25:00,JD100,,3.990,DIGITOVER,5,0.4228,0.0261,0.64,132,3611521539,won,0.78,1
10:25:03,JD100,,3.984,DIGITOVER,6,0.3210,0.0288,0.64,129,3611522779,won,1.19,1
10:25:05,JD100,,3.982,DIGITOVER,5,0.4228,0.0262,0.64,118,3611525299,won,0.78,1
10:25:07,JD100,,3.982,DIGITOVER,4,0.5230,0.0214,0.64,114,3611527379,lost,-0.64,1
10:25:09,JD100,,3.979,DIGITUNDER,4,0.4211,0.0220,0.64,148,3611528219,won,0.78,1
