ts,sym,digit,sigma,ct,bar,p,ev,stake,rtt_ms,cid,status,pnl,lag
11:29:00,JD100,,3.964,DIGITUNDER,5,0.5220,0.0194,0.46,151,3616777859,lost,-0.46,1
11:29:02,JD100,,3.966,DIGITOVER,4,0.5219,0.0194,0.46,266,3616781119,won,0.38,1
11:29:04,JD100,,3.965,DIGITUNDER,5,0.5206,0.0168,0.46,110,3616784579,lost,-0.46,1
11:29:06,JD100,,3.965,DIGITOVER,4,0.5236,0.0227,0.46,292,3616785779,won,0.38,1
11:29:08,JD100,,3.964,DIGITUNDER,5,0.5220,0.0194,0.46,141,3616789259,lost,-0.46,1
11:29:10,JD100,,3.964,DIGITUNDER,5,0.5237,0.0227,0.46,104,3616791099,lost,-0.46,1
11:29:12,JD100,,3.968,DIGITUNDER,5,0.5220,0.0194,0.46,108,3616792999,won,0.38,1
11:29:15,JD100,,3.966,DIGITUNDER,5,0.5206,0.0168,0.46,150,3616794019,lost,-0.46,1
11:29:17,JD100,,3.964,DIGITOVER,4,0.5237,0.0227,0.46,111,3616795159,won,0.38,1
11:29:19,JD100,,3.961,DIGITOVER,4,0.5206,0.0168,0.46,122,3616797339,lost,-0.46,1
11:29:21,JD100,,3.962,DIGITUNDER,5,0.5220,0.0194,0.46,103,3616798319,won,0.38,1
11:29:23,JD100,,3.962,DIGITUNDER,5,0.5237,0.0227,0.46,99,3616799659,won,0.38,1
11:29:25,JD100,,3.962,DIGITOVER,4,0.5220,0.0194,0.46,126,3616802459,lost,-0.46,1
11:29:27,JD100,,3.964,DIGITUNDER,5,0.5220,0.0194,0.46,99,3616804019,won,0.38,1
11:29:29,JD100,,3.972,DIGITUNDER,5,0.5237,0.0227,0.46,128,3616805079,lost,-0.46,1
11:29:31,JD100,,3.971,DIGITOVER,4,0.5206,0.0168,0.46,120,3616806019,won,0.38,1
11:29:33,JD100,,3.970,DIGITOVER,4,0.5206,0.0168,0.46,113,3616807279,won,0.38,1
11:29:35,JD100,,3.979,DIGITOVER,4,0.5220,0.0194,0.46,118,3616808399,won,0.38,1
11:29:37,JD100,,3.976,DIGITOVER,4,0.5206,0.0168,0.46,122,3616811839,lost,-0.46,1
11:29:39,JD100,,3.974,DIGITUNDER,5,0.5207,0.0168,0.46,196,3616817039,won,0.38,1
11:29:41,JD100,,3.972,DIGITUNDER,5,0.5207,0.0169,0.46,98,3616818179,won,0.38,1
11:29:43,JD100,,3.972,DIGITUNDER,5,0.5207,0.0169,0.46,107,3616818859,won,0.38,1
11:29:45,JD100,,3.968,DIGITOVER,4,0.5220,0.0194,0.46,133,3616823179,lost,-0.46,1
11:29:47,JD100,,3.970,DIGITUNDER,5,0.5237,0.0228,0.46,94,3616825259,lost,-0.46,1
11:29:50,JD100,,3.971,DIGITOVER,4,0.5220,0.0194,0.46,96,3616829059,won,0.38,1
11:29:52,JD100,,3.969,DIGITOVER,4,0.5237,0.0228,0.46,122,3616830419,lost,-0.46,1
11:29:54,JD100,,3.974,DIGITOVER,4,0.5237,0.0228,0.46,114,3616834119,won,0.38,1
11:29:56,JD100,,3.973,DIGITUNDER,5,0.5237,0.0228,0.46,93,3616837079,won,0.38,1
11:29:58,JD100,,3.974,DIGITUNDER,5,0.5207,0.0169,0.46,106,3616838319,lost,-0.46,1
11:30:00,JD100,,3.974,DIGITOVER,4,0.5220,0.0195,0.46,97,3616839619,won,0.38,1
11:30:02,JD100,,3.974,DIGITOVER,4,0.5220,0.0195,0.46,105,3616840519,won,0.38,1
11:30:04,JD100,,3.974,DIGITOVER,4,0.5207,0.0168,0.46,100,3616841679,lost,-0.46,1
11:30:06,JD100,,3.973,DIGITOVER,4,0.5237,0.0228,0.46,117,3616852039,won,0.38,1
11:30:08,JD100,,3.973,DIGITOVER,4,0.5221,0.0196,0.46,130,3616853399,won,0.38,1
