ts,sym,digit,sigma,ct,bar,p,ev,stake,rtt_ms,cid,status,pnl,lag
10:14:42,JD100,,3.950,DIGITUNDER,3,0.3162,0.0134,0.80,119,3610727919,lost,-0.8,1
10:14:45,JD100,,3.951,DIGITUNDER,3,0.3162,0.0134,0.80,137,3610728859,lost,-0.8,1
10:14:47,JD100,,3.947,DIGITUNDER,3,0.3162,0.0135,0.80,114,3610729759,lost,-0.8,1
10:14:49,JD100,,3.946,DIGITUNDER,3,0.3162,0.0135,0.80,92,3610730979,lost,-0.8,1
10:14:51,JD100,,3.946,DIGITUNDER,3,0.3162,0.0134,0.80,100,3610732219,won,1.49,1
10:14:53,JD100,,3.946,DIGITUNDER,3,0.3162,0.0134,0.80,141,3610733239,lost,-0.8,1
10:14:55,JD100,,3.946,DIGITUNDER,3,0.3162,0.0134,0.79,113,3610734259,won,1.47,1
10:14:57,JD100,,3.947,DIGITUNDER,3,0.3162,0.0133,0.79,155,3610735659,lost,-0.79,1
10:14:59,JD100,,3.945,DIGITUNDER,3,0.3162,0.0133,0.79,93,3610736999,lost,-0.79,1
10:15:01,JD100,,3.945,DIGITUNDER,3,0.3162,0.0133,0.79,98,3610739959,won,1.47,1
10:15:03,JD100,,3.946,DIGITUNDER,3,0.3162,0.0133,0.79,99,3610740959,lost,-0.79,1
10:15:05,JD100,,3.948,DIGITUNDER,3,0.3161,0.0132,0.79,85,3610742779,lost,-0.79,1
10:15:08,JD100,,3.952,DIGITUNDER,3,0.3162,0.0133,0.79,119,3610744319,lost,-0.79,1
10:15:10,JD100,,3.952,DIGITUNDER,3,0.3162,0.0133,0.79,1177,3610751479,lost,-0.79,2
10:15:12,JD100,,3.953,DIGITUNDER,3,0.3161,0.0132,0.79,149,3610753139,lost,-0.79,1
10:15:14,JD100,,3.953,DIGITUNDER,3,0.3162,0.0133,0.79,114,3610754219,lost,-0.79,1
10:15:16,JD100,,3.952,DIGITUNDER,3,0.3161,0.0133,0.80,143,3610754999,lost,-0.8,1
10:15:18,JD100,,3.950,DIGITUNDER,3,0.3161,0.0132,0.80,133,3610757239,won,1.49,1
10:15:20,JD100,,3.951,DIGITUNDER,3,0.3161,0.0132,0.79,108,3610758199,lost,-0.79,1
10:15:22,JD100,,3.953,DIGITUNDER,3,0.3161,0.0132,0.79,114,3610759419,lost,-0.79,1
10:15:24,JD100,,3.953,DIGITUNDER,3,0.3161,0.0132,0.79,134,3610760739,lost,-0.79,1
10:15:26,JD100,,3.958,DIGITUNDER,3,0.3161,0.0132,0.79,169,3610762059,lost,-0.79,1
10:15:28,JD100,,3.961,DIGITUNDER,3,0.3162,0.0133,0.80,114,3610763399,lost,-0.8,1
10:15:30,JD100,,3.959,DIGITUNDER,3,0.3162,0.0133,0.80,117,3610764919,won,1.49,1
10:15:32,JD100,,3.959,DIGITUNDER,3,0.3162,0.0134,0.79,94,3610766079,lost,-0.79,1
10:15:34,JD100,,3.959,DIGITUNDER,3,0.3162,0.0133,0.79,136,3610767299,lost,-0.79,1
10:15:36,JD100,,3.958,DIGITUNDER,3,0.3162,0.0134,0.79,107,3610767999,lost,-0.79,1
10:15:38,JD100,,3.963,DIGITUNDER,3,0.3162,0.0134,0.79,118,3610769639,lost,-0.79,1
10:15:41,JD100,,3.969,DIGITUNDER,3,0.3162,0.0134,0.79,138,3610771379,lost,-0.79,1
10:15:43,JD100,,3.969,DIGITUNDER,3,0.3162,0.0135,0.79,138,3610773319,lost,-0.79,1
10:15:45,JD100,,3.970,DIGITUNDER,3,0.3162,0.0135,0.79,140,3610774219,lost,-0.79,1
10:15:47,JD100,,3.968,DIGITUNDER,3,0.3162,0.0134,0.79,110,3610775359,lost,-0.79,1
10:15:49,JD100,,3.971,DIGITUNDER,3,0.3162,0.0134,0.79,165,3610776159,won,1.47,1
10:15:51,JD100,,3.971,DIGITUNDER,3,0.3162,0.0134,0.79,118,3610777559,won,1.47,1
10:15:53,JD100,,3.971,DIGITUNDER,3,0.3162,0.0134,0.78,85,3610778559,lost,-0.78,1
10:15:55,JD100,,3.971,DIGITUNDER,3,0.3162,0.0134,0.78,91,3610779939,won,1.45,1
10:15:57,JD100,,3.971,DIGITUNDER,3,0.3162,0.0134,0.78,145,3610780999,lost,-0.78,1
10:15:59,JD100,,3.969,DIGITUNDER,3,0.3162,0.0134,0.78,111,3610782079,won,1.45,1
10:16:01,JD100,,3.969,DIGITUNDER,3,0.3162,0.0133,0.78,150,3610783239,lost,-0.78,1
10:16:03,JD100,,3.971,DIGITUNDER,3,0.3162,0.0133,0.79,102,3610784259,lost,-0.79,1
10:16:06,JD100,,3.971,DIGITUNDER,3,0.3162,0.0134,0.79,120,3610785779,won,1.47,1
10:16:08,JD100,,3.973,DIGITUNDER,3,0.3162,0.0133,0.78,103,3610786919,lost,-0.78,1
10:16:10,JD100,,3.983,DIGITUNDER,3,0.3162,0.0134,0.78,155,3610788539,won,1.45,1
10:16:12,JD100,,3.983,DIGITUNDER,3,0.3162,0.0134,0.78,126,3610791959,won,1.45,1
10:16:14,JD100,,3.983,DIGITUNDER,3,0.3162,0.0134,0.78,106,3610792759,won,1.45,1
