ts,sym,decision_epoch,digit,sigma,ctype,barrier,model_p,model_ev,rtt_ms,cid,status,pnl,exit_lag_s
13:52:42,JD100,1781272359,,4.153,DIGITOVER,6,0.3177,0.0181,123,1988249419,lost,-1.0,1
13:52:45,JD100,1781272362,,4.154,DIGITUNDER,4,0.4201,0.0195,132,1988252799,won,1.43,1
13:52:47,JD100,1781272365,,4.158,DIGITUNDER,4,0.4201,0.0195,120,1988256259,won,1.43,1
13:52:51,JD100,1781272369,,4.153,DIGITUNDER,4,0.4201,0.0195,132,1988260459,won,1.43,1
13:52:53,JD100,1781272370,,4.151,DIGITUNDER,4,0.4201,0.0195,185,1988261479,lost,-1.0,1
13:52:55,JD100,1781272372,,4.150,DIGITOVER,6,0.3177,0.0181,122,1988263559,won,2.21,1
13:52:57,JD100,1781272373,,4.160,DIGITOVER,6,0.3177,0.0181,94,1988264779,lost,-1.0,1
13:52:59,JD100,1781272374,,4.164,DIGITUNDER,4,0.4201,0.0195,164,1988265859,lost,-1.0,1
13:53:01,JD100,1781272376,,4.162,DIGITOVER,5,0.4201,0.0195,127,1988268179,lost,-1.0,1
13:53:05,JD100,1781272382,,4.157,DIGITUNDER,4,0.4201,0.0195,100,1988275419,won,1.43,1
13:53:07,JD100,1781272383,,4.155,DIGITUNDER,4,0.4201,0.0195,125,1988277079,won,1.43,1
13:53:13,JD100,1781272390,,4.166,DIGITUNDER,4,0.4201,0.0195,121,1988284319,won,1.43,1
13:53:17,JD100,1781272394,,4.161,DIGITOVER,6,0.3177,0.0181,155,1988288279,lost,-1.0,1
13:53:22,JD100,1781272399,,4.158,DIGITOVER,5,0.4201,0.0195,122,1988293659,lost,-1.0,1
