ts,sym,decision_epoch,digit,sigma,ctype,barrier,model_p,model_ev,rtt_ms,cid,status,pnl,exit_lag_s
10:37:24,JD100,1781260641,,4.160,DIGITUNDER,4,0.4201,0.0195,114,1974023899,lost,-1.0,1
10:37:26,JD100,1781260642,,4.163,DIGITOVER,5,0.4201,0.0195,117,1974024819,lost,-1.0,1
10:37:30,JD100,1781260647,,4.158,DIGITOVER,6,0.3177,0.0181,110,1974030759,lost,-1.0,1
10:37:35,JD100,1781260652,,4.153,DIGITOVER,6,0.3177,0.0181,93,1974037359,lost,-1.0,1
10:37:38,JD100,1781260655,,4.154,DIGITOVER,5,0.4201,0.0195,103,1974041499,won,1.43,1
10:37:41,JD100,1781260658,,4.155,DIGITOVER,5,0.4201,0.0195,112,1974045499,won,1.43,1
10:37:43,JD100,1781260661,,4.169,DIGITOVER,5,0.4201,0.0195,131,1974049459,won,1.43,1
10:37:49,JD100,1781260666,,4.160,DIGITOVER,5,0.4201,0.0195,87,1974056119,lost,-1.0,1
10:37:54,JD100,1781260671,,4.157,DIGITOVER,5,0.4201,0.0195,103,1974062759,won,1.43,1
10:37:57,JD100,1781260674,,4.154,DIGITOVER,5,0.4201,0.0195,100,1974066419,lost,-1.0,1
10:38:01,JD100,1781260678,,4.151,DIGITUNDER,4,0.4201,0.0195,114,1974070359,won,1.43,1
10:38:08,JD100,1781260685,,4.161,DIGITUNDER,4,0.4201,0.0195,102,1974079239,lost,-1.0,1
10:38:11,JD100,1781260686,,4.160,DIGITOVER,6,0.3177,0.0181,99,1974080219,won,2.21,1
10:38:13,JD100,1781260687,,4.158,DIGITOVER,6,0.3177,0.0181,118,1974081499,lost,-1.0,1
10:38:15,JD100,1781260688,,4.157,DIGITUNDER,4,0.4201,0.0195,118,1974082399,lost,-1.0,1
10:38:17,JD100,1781260690,,4.156,DIGITOVER,6,0.3177,0.0181,110,1974084779,lost,-1.0,1
10:38:19,JD100,1781260692,,4.159,DIGITUNDER,4,0.4201,0.0195,95,1974086859,lost,-1.0,1
