ts,sym,decision_epoch,digit,sigma,ctype,barrier,model_p,model_ev,rtt_ms,cid,status,pnl,exit_lag_s
09:51:15,JD100,1781257873,,4.153,DIGITUNDER,4,0.4190,0.0170,93,1970855359,won,1.43,1
09:51:17,JD100,1781257874,,4.151,DIGITUNDER,4,0.4190,0.0170,120,1970856179,won,1.43,1
09:51:23,JD100,1781257880,,4.152,DIGITOVER,5,0.4190,0.0170,93,1970861719,won,1.43,1
09:51:25,JD100,1781257881,,4.150,DIGITOVER,6,0.3158,0.0121,87,1970862699,won,2.21,1
09:51:27,JD100,1781257883,,4.151,DIGITUNDER,6,0.6184,0.0105,90,1970865259,lost,-1.0,1
09:51:29,JD100,1781257884,,4.152,DIGITOVER,6,0.3158,0.0121,124,1970866059,lost,-1.0,1
09:51:31,JD100,1781257886,,4.150,DIGITUNDER,4,0.4190,0.0170,138,1970868139,lost,-1.0,1
09:51:33,JD100,1781257887,,4.151,DIGITOVER,4,0.5179,0.0114,132,1970869319,won,0.95,1
09:51:35,JD100,1781257889,,4.154,DIGITUNDER,5,0.5175,0.0106,117,1970871299,lost,-1.0,1
09:51:37,JD100,1781257890,,4.155,DIGITOVER,5,0.4190,0.0170,137,1970873179,won,1.43,1
09:51:39,JD100,1781257891,,4.153,DIGITOVER,5,0.4190,0.0170,140,1970874319,lost,-1.0,1
09:51:45,JD100,1781257902,,4.158,DIGITOVER,4,0.5179,0.0114,111,1970887039,won,0.95,1
09:51:47,JD100,1781257904,,4.155,DIGITOVER,6,0.3158,0.0121,106,1970890359,lost,-1.0,1
09:51:49,JD100,1781257905,,4.159,DIGITUNDER,4,0.4190,0.0170,107,1970891579,won,1.43,1
09:51:51,JD100,1781257906,,4.157,DIGITUNDER,4,0.4190,0.0170,111,1970892379,lost,-1.0,1
09:51:53,JD100,1781257907,,4.159,DIGITOVER,5,0.4190,0.0170,94,1970893479,lost,-1.0,1
09:51:55,JD100,1781257909,,4.163,DIGITUNDER,5,0.5175,0.0106,81,1970895639,lost,-1.0,1
09:51:57,JD100,1781257910,,4.164,DIGITOVER,5,0.4190,0.0170,123,1970896639,won,1.43,1
09:51:59,JD100,1781257911,,4.162,DIGITOVER,5,0.4190,0.0170,131,1970898379,lost,-1.0,1
09:52:01,JD100,1781257913,,4.161,DIGITOVER,6,0.3158,0.0121,84,1970900439,lost,-1.0,1
09:52:03,JD100,1781257915,,4.164,DIGITOVER,6,0.3158,0.0121,98,1970902379,lost,-1.0,1
09:52:05,JD100,1781257917,,4.170,DIGITUNDER,4,0.4190,0.0170,95,1970905059,lost,-1.0,1
09:52:07,JD100,1781257919,,4.172,DIGITOVER,4,0.5179,0.0114,110,1970907319,lost,-1.0,1
09:52:09,JD100,1781257920,,4.171,DIGITUNDER,6,0.6184,0.0105,149,1970908499,won,0.63,1
09:52:12,JD100,1781257922,,4.173,DIGITOVER,5,0.4190,0.0170,94,1970911079,lost,-1.0,1
09:52:14,JD100,1781257924,,4.175,DIGITOVER,6,0.3158,0.0121,105,1970913719,lost,-1.0,1
09:52:16,JD100,1781257925,,4.173,DIGITOVER,4,0.5179,0.0114,116,1970915079,lost,-1.0,1
09:52:18,JD100,1781257927,,4.172,DIGITUNDER,6,0.6184,0.0105,88,1970917179,lost,-1.0,1
09:52:20,JD100,1781257928,,4.174,DIGITOVER,5,0.4190,0.0170,122,1970918399,won,1.43,1
09:52:22,JD100,1781257931,,4.170,DIGITOVER,4,0.5179,0.0114,116,1970921859,won,0.95,1
09:52:24,JD100,1781257932,,4.168,DIGITOVER,5,0.4190,0.0170,132,1970922559,lost,-1.0,1
09:52:26,JD100,1781257936,,4.165,DIGITUNDER,5,0.5175,0.0106,126,1970927439,won,0.95,1
09:52:28,JD100,1781257943,,4.168,DIGITUNDER,5,0.5175,0.0106,109,1970935419,lost,-1.0,1
09:52:30,JD100,1781257945,,4.166,DIGITOVER,6,0.3158,0.0121,108,1970937579,won,2.21,1
09:52:32,JD100,1781257947,,4.164,DIGITUNDER,6,0.6184,0.0105,154,1970940839,won,0.63,1
09:52:34,JD100,1781257949,,4.172,DIGITUNDER,4,0.4190,0.0170,165,1970943159,won,1.43,1
09:52:36,JD100,1781257950,,4.170,DIGITUNDER,6,0.6184,0.0105,115,1970943959,lost,-1.0,1
09:52:38,JD100,1781257952,,4.172,DIGITUNDER,6,0.6184,0.0105,123,1970945999,won,0.63,1
09:52:40,JD100,1781257953,,4.170,DIGITUNDER,6,0.6184,0.0105,99,1970947319,won,0.63,1
09:52:42,JD100,1781257954,,4.169,DIGITUNDER,4,0.4190,0.0170,124,1970949239,lost,-1.0,1
09:52:44,JD100,1781257955,,4.169,DIGITOVER,4,0.5179,0.0114,96,1970950919,won,0.95,1
09:52:46,JD100,1781257956,,4.168,DIGITOVER,6,0.3158,0.0121,146,1970951559,lost,-1.0,1
09:52:49,JD100,1781257957,,4.167,DIGITUNDER,4,0.4190,0.0170,100,1970952719,won,1.43,1
09:52:51,JD100,1781257960,,4.162,DIGITOVER,5,0.4190,0.0170,116,1970955799,lost,-1.0,1
09:52:53,JD100,1781257961,,4.162,DIGITUNDER,6,0.6184,0.0105,95,1970957279,won,0.63,1
09:52:55,JD100,1781257963,,4.163,DIGITUNDER,4,0.4190,0.0170,112,1970959599,won,1.43,1
09:52:57,JD100,1781257964,,4.161,DIGITUNDER,5,0.5175,0.0106,114,1970960479,lost,-1.0,1
09:52:59,JD100,1781257965,,4.163,DIGITOVER,6,0.3158,0.0121,150,1970961619,won,2.21,1
09:53:01,JD100,1781257966,,4.161,DIGITOVER,5,0.4190,0.0170,118,1970962999,won,1.43,1
09:53:03,JD100,1781257967,,4.159,DIGITOVER,5,0.4190,0.0170,124,1970964319,lost,-1.0,1
09:53:05,JD100,1781257968,,4.159,DIGITUNDER,4,0.4190,0.0170,134,1970965479,lost,-1.0,1
09:53:07,JD100,1781257970,,4.157,DIGITOVER,4,0.5179,0.0114,93,1970967999,lost,-1.0,1
09:53:09,JD100,1781257972,,4.156,DIGITUNDER,6,0.6184,0.0105,112,1970970359,lost,-1.0,1
09:53:11,JD100,1781257973,,4.157,DIGITOVER,6,0.3158,0.0121,92,1970971319,won,2.21,1
09:53:13,JD100,1781257976,,4.154,DIGITOVER,6,0.3158,0.0121,104,1970974719,won,2.21,1
09:53:15,JD100,1781257978,,4.152,DIGITUNDER,6,0.6184,0.0105,98,1970976799,lost,-1.0,1
09:53:17,JD100,1781257979,,4.151,DIGITOVER,4,0.5179,0.0114,95,1970978139,lost,-1.0,1
09:53:19,JD100,1781257981,,4.162,DIGITOVER,4,0.5179,0.0114,128,1970980899,lost,-1.0,1
