epoch,price,last_digit
1780815939,722.97,7
1780815940,723.17,7
1780815941,723.13,3
1780815942,723.22,2
1780815943,723.26,6
1780815944,723.18,8
1780815945,723.16,6
1780815946,723.21,1
1780815947,723.26,6
1780815948,723.29,9
1780815949,723.27,7
1780815950,723.29,9
1780815951,723.45,5
1780815952,723.41,1
1780815953,723.42,2
1780815954,723.46,6
1780815955,723.55,5
1780815956,723.59,9
1780815957,723.16,6
1780815958,722.99,9
1780815959,722.94,4
1780815960,722.90,0
1780815961,723.00,0
1780815962,723.32,2
1780815963,723.27,7
1780815964,723.40,0
1780815965,723.55,5
1780815966,723.46,6
1780815967,723.53,3
1780815968,723.45,5
1780815969,723.37,7
1780815970,723.44,4
1780815971,723.52,2
1780815972,723.43,3
1780815973,723.31,1
1780815974,723.30,0
1780815975,723.27,7
1780815976,723.34,4
1780815977,723.34,4
1780815978,723.54,4
1780815979,723.27,7
1780815980,723.36,6
1780815981,723.48,8
1780815982,723.54,4
1780815983,723.66,6
1780815984,723.74,4
1780815985,723.55,5
1780815986,723.57,7
1780815987,723.43,3
1780815988,723.36,6
1780815989,723.36,6
1780815990,723.07,7
1780815991,723.14,4
1780815992,723.18,8
1780815993,723.13,3
1780815994,723.31,1
1780815995,723.43,3
1780815996,723.41,1
1780815997,723.35,5
1780815998,723.25,5
1780815999,723.22,2
1780816000,723.22,2
1780816001,723.12,2
1780816002,723.36,6
1780816003,723.63,3
1780816004,723.58,8
1780816005,723.57,7
1780816006,723.57,7
1780816007,723.49,9
1780816008,723.56,6
1780816009,723.38,8
1780816010,723.21,1
1780816011,723.07,7
1780816012,722.89,9
1780816013,722.96,6
1780816014,722.91,1
1780816015,722.86,6
1780816016,722.82,2
1780816017,722.95,5
1780816018,722.90,0
1780816019,722.84,4
1780816020,722.86,6
1780816021,722.94,4
1780816022,722.70,0
1780816023,722.52,2
1780816024,722.48,8
1780816025,722.40,0
1780816026,722.40,0
1780816027,722.67,7
1780816028,722.82,2
1780816029,722.81,1
1780816030,722.83,3
1780816031,722.82,2
1780816032,722.71,1
1780816033,722.75,5
1780816034,722.89,9
1780816035,722.71,1
1780816036,722.59,9
1780816037,722.44,4
1780816038,722.54,4
1780816039,722.34,4
1780816040,722.52,2
1780816041,722.65,5
1780816042,722.62,2
1780816043,722.82,2
1780816044,722.78,8
1780816045,722.89,9
1780816046,722.98,8
1780816047,722.81,1
1780816048,722.64,4
1780816049,722.60,0
1780816050,722.56,6
1780816051,722.46,6
1780816052,722.66,6
1780816053,722.61,1
1780816054,722.66,6
1780816055,722.63,3
1780816056,722.63,3
1780816057,722.67,7
1780816058,722.54,4
1780816059,722.46,6
1780816060,722.58,8
1780816061,722.56,6
1780816062,722.38,8
1780816063,722.63,3
1780816064,722.69,9
1780816065,722.49,9
1780816066,722.51,1
1780816067,722.41,1
1780816068,722.40,0
1780816069,722.38,8
1780816070,722.26,6
1780816071,722.23,3
1780816072,722.45,5
1780816073,722.48,8
1780816074,722.69,9
1780816075,722.73,3
1780816076,722.78,8
1780816077,722.99,9
1780816078,723.00,0
1780816079,722.96,6
1780816080,722.97,7
1780816081,722.88,8
1780816082,722.99,9
1780816083,722.90,0
1780816084,722.92,2
1780816085,723.04,4
1780816086,722.97,7
1780816087,723.01,1
1780816088,723.03,3
1780816089,723.05,5
1780816090,722.73,3
1780816091,722.77,7
1780816092,722.83,3
1780816093,723.00,0
1780816094,722.84,4
1780816095,722.94,4
1780816096,722.76,6
1780816097,722.57,7
1780816098,722.33,3
1780816099,722.33,3
1780816100,722.33,3
1780816101,722.59,9
1780816102,722.54,4
1780816103,722.59,9
1780816104,722.53,3
1780816105,722.52,2
1780816106,722.58,8
1780816107,722.58,8
1780816108,722.55,5
1780816109,722.62,2
1780816110,722.43,3
1780816111,722.22,2
1780816112,722.21,1
1780816113,722.25,5
1780816114,722.34,4
1780816115,722.15,5
1780816116,722.08,8
1780816117,722.04,4
1780816118,721.90,0
1780816119,721.72,2
1780816120,721.57,7
1780816121,721.35,5
1780816122,721.37,7
1780816123,721.14,4
1780816124,721.25,5
1780816125,721.22,2
1780816126,720.99,9
1780816127,720.84,4
1780816128,721.07,7
1780816129,721.25,5
1780816130,721.33,3
1780816131,721.35,5
1780816132,721.41,1
1780816133,721.36,6
1780816134,721.32,2
1780816135,721.46,6
1780816136,721.39,9
1780816137,721.51,1
1780816138,721.68,8
1780816139,721.76,6
1780816140,721.93,3
1780816141,721.96,6
1780816142,722.06,6
1780816143,721.87,7
1780816144,721.87,7
1780816145,721.73,3
1780816146,721.69,9
1780816147,721.82,2
1780816148,721.95,5
1780816149,722.01,1
1780816150,722.17,7
1780816151,722.19,9
1780816152,721.92,2
1780816153,721.98,8
1780816154,721.84,4
1780816155,721.86,6
1780816156,721.99,9
1780816157,721.79,9
1780816158,721.97,7
1780816159,721.90,0
1780816160,721.93,3
1780816161,722.04,4
1780816162,722.01,1
1780816163,722.06,6
1780816164,721.95,5
1780816165,721.85,5
1780816166,721.86,6
1780816167,721.93,3
1780816168,721.82,2
1780816169,721.84,4
1780816170,721.78,8
1780816171,721.73,3
1780816172,721.80,0
1780816173,722.02,2
1780816174,722.23,3
1780816175,722.13,3
1780816176,722.17,7
1780816177,722.06,6
1780816178,722.12,2
1780816179,721.81,1
1780816180,722.03,3
1780816181,722.23,3
1780816182,722.31,1
1780816183,722.19,9
1780816184,722.40,0
1780816185,722.19,9
1780816186,721.98,8
1780816187,721.97,7
1780816188,721.99,9
1780816189,721.95,5
1780816190,722.01,1
1780816191,722.00,0
1780816192,721.86,6
1780816193,721.95,5
1780816194,722.11,1
1780816195,722.27,7
1780816196,722.26,6
1780816197,722.33,3
1780816198,722.16,6
1780816199,722.14,4
1780816200,722.08,8
1780816201,722.01,1
1780816202,721.91,1
1780816203,721.98,8
1780816204,721.99,9
1780816205,722.15,5
1780816206,722.05,5
1780816207,721.90,0
1780816208,721.83,3
1780816209,721.62,2
1780816210,721.38,8
1780816211,721.43,3
1780816212,721.69,9
1780816213,721.92,2
1780816214,721.99,9
1780816215,722.15,5
1780816216,721.88,8
1780816217,721.80,0
1780816218,721.57,7
1780816219,721.56,6
1780816220,721.85,5
1780816221,721.93,3
1780816222,721.93,3
1780816223,722.12,2
1780816224,722.00,0
1780816225,722.15,5
1780816226,722.00,0
1780816227,721.76,6
1780816228,721.75,5
1780816229,721.80,0
1780816230,721.73,3
1780816231,721.84,4
1780816232,721.85,5
1780816233,721.78,8
1780816234,721.88,8
1780816235,721.79,9
1780816236,721.78,8
1780816237,721.95,5
1780816238,721.84,4
1780816239,721.82,2
1780816240,721.69,9
1780816241,721.83,3
1780816242,721.73,3
1780816243,721.65,5
1780816244,721.62,2
1780816245,721.85,5
1780816246,721.84,4
1780816247,721.71,1
1780816248,721.98,8
1780816249,721.88,8
1780816250,721.87,7
1780816251,721.87,7
1780816252,721.90,0
1780816253,721.90,0
1780816254,722.08,8
1780816255,722.04,4
1780816256,722.15,5
1780816257,722.09,9
1780816258,721.99,9
1780816259,721.82,2
1780816260,721.81,1
1780816261,721.71,1
1780816262,721.93,3
1780816263,721.83,3
1780816264,721.78,8
1780816265,721.82,2
1780816266,721.90,0
1780816267,721.68,8
1780816268,721.77,7
1780816269,721.72,2
1780816270,721.70,0
1780816271,721.62,2
1780816272,721.70,0
1780816273,721.40,0
1780816274,721.21,1
1780816275,721.36,6
1780816276,721.38,8
1780816277,721.07,7
1780816278,721.01,1
1780816279,720.97,7
1780816280,720.91,1
1780816281,720.80,0
1780816282,720.76,6
1780816283,720.80,0
1780816284,720.91,1
1780816285,720.62,2
1780816286,720.42,2
1780816287,720.24,4
1780816288,720.29,9
1780816289,720.18,8
1780816290,720.12,2
1780816291,720.15,5
1780816292,720.27,7
1780816293,720.41,1
1780816294,720.23,3
1780816295,720.30,0
1780816296,720.33,3
1780816297,720.33,3
1780816298,720.18,8
1780816299,720.46,6
1780816300,720.54,4
1780816301,720.44,4
1780816302,720.32,2
1780816303,720.08,8
1780816304,720.06,6
1780816305,720.19,9
1780816306,719.82,2
1780816307,719.92,2
1780816308,719.81,1
1780816309,719.58,8
1780816310,719.70,0
1780816311,719.67,7
1780816312,719.52,2
1780816313,719.46,6
1780816314,719.66,6
1780816315,719.45,5
1780816316,719.57,7
1780816317,719.32,2
1780816318,719.15,5
1780816319,719.22,2
1780816320,719.24,4
1780816321,719.17,7
1780816322,719.23,3
1780816323,719.30,0
1780816324,719.65,5
1780816325,719.78,8
1780816326,720.01,1
1780816327,720.04,4
1780816328,720.06,6
1780816329,720.00,0
1780816330,720.21,1
1780816331,720.33,3
1780816332,720.40,0
1780816333,720.36,6
1780816334,720.68,8
1780816335,720.47,7
1780816336,720.58,8
1780816337,720.57,7
1780816338,720.49,9
1780816339,720.61,1
1780816340,720.68,8
1780816341,720.73,3
1780816342,720.79,9
1780816343,720.92,2
1780816344,720.91,1
1780816345,720.81,1
1780816346,720.75,5
1780816347,720.95,5
1780816348,720.85,5
1780816349,720.96,6
1780816350,720.99,9
1780816351,721.01,1
1780816352,720.83,3
1780816353,720.79,9
1780816354,721.00,0
1780816355,720.86,6
