ts,sym,decision_epoch,digit,sigma,ctype,barrier,model_p,model_ev,rtt_ms,cid,status,pnl,exit_lag_s
16:24:41,JD100,1781713478,,3.436,DIGITOVER,4,0.5501,0.0744,187,2455522219,won,0.31,1
16:24:43,JD100,1781713479,,3.434,DIGITMATCH,5,0.1192,0.0644,167,2455523679,lost,-0.35,1
16:24:45,JD100,1781713480,,3.432,DIGITMATCH,4,0.1192,0.0647,179,2455524539,won,2.78,1
16:24:47,JD100,1781713481,,3.431,DIGITMATCH,4,0.1193,0.0651,169,2455526599,lost,-0.35,1
16:24:49,JD100,1781713482,,3.429,DIGITUNDER,5,0.5506,0.0752,205,2455527719,won,0.31,1
16:24:51,JD100,1781713483,,3.427,DIGITUNDER,5,0.5507,0.0755,186,2455529219,won,0.31,1
16:24:53,JD100,1781713484,,3.426,DIGITMATCH,4,0.1194,0.0663,201,2455530059,lost,-0.35,1
16:24:55,JD100,1781713485,,3.426,DIGITOVER,6,0.3508,0.1242,192,2455531539,lost,-0.35,1
16:24:57,JD100,1781713486,,3.426,DIGITMATCH,5,0.1194,0.0662,176,2455532459,lost,-0.35,1
16:24:59,JD100,1781713487,,3.425,DIGITMATCH,4,0.1194,0.0666,150,2455533819,won,2.78,1
16:25:01,JD100,1781713488,,3.423,DIGITMATCH,4,0.1195,0.0670,189,2455534739,lost,-0.35,1
16:25:04,JD100,1781713489,,3.426,DIGITUNDER,2,0.2351,0.1089,147,2455536519,lost,-0.35,1
16:25:06,JD100,1781713490,,3.426,DIGITUNDER,5,0.5508,0.0757,278,2455537619,won,0.31,1
16:25:08,JD100,1781713491,,3.425,DIGITUNDER,3,0.3509,0.1246,164,2455539199,lost,-0.35,1
16:25:10,JD100,1781713492,,3.424,DIGITMATCH,4,0.1195,0.0666,182,2455539959,lost,-0.35,1
16:25:12,JD100,1781713493,,3.424,DIGITOVER,5,0.4569,0.1090,163,2455541279,lost,-0.35,1
16:25:14,JD100,1781713494,,3.423,DIGITMATCH,5,0.1195,0.0669,187,2455542259,lost,-0.35,1
16:25:16,JD100,1781713495,,3.422,DIGITUNDER,5,0.5511,0.0762,153,2455543659,won,0.31,1
16:25:18,JD100,1781713496,,3.420,DIGITUNDER,4,0.4572,0.1097,187,2455545779,lost,-0.35,1
16:25:20,JD100,1781713497,,3.422,DIGITOVER,5,0.4571,0.1093,178,2455548519,won,0.48,1
16:25:22,JD100,1781713498,,3.421,DIGITOVER,6,0.3512,0.1255,158,2455549819,won,0.75,1
16:25:24,JD100,1781713499,,3.419,DIGITOVER,6,0.3513,0.1259,140,2455551639,won,0.75,1
16:25:26,JD100,1781713500,,3.417,DIGITOVER,6,0.3514,0.1262,172,2455553759,won,0.75,1
16:25:29,JD100,1781713501,,3.416,DIGITOVER,5,0.4576,0.1105,188,2455555499,won,0.48,1
16:25:31,JD100,1781713502,,3.414,DIGITOVER,4,0.5516,0.0772,173,2455556779,won,0.31,1
16:25:33,JD100,1781713503,,3.413,DIGITOVER,4,0.5517,0.0775,184,2455558239,lost,-0.35,1
16:25:35,JD100,1781713504,,3.413,DIGITUNDER,4,0.4578,0.1110,204,2455559159,lost,-0.35,1
16:25:37,JD100,1781713505,,3.412,DIGITMATCH,4,0.1198,0.0695,1089,2455563339,lost,-0.35,2
16:25:39,JD100,1781713507,,3.411,DIGITUNDER,3,0.3518,0.1276,202,2455566439,won,0.75,1
16:25:41,JD100,1781713508,,3.410,DIGITUNDER,2,0.2359,0.1127,189,2455567219,lost,-0.35,1
16:25:43,JD100,1781713509,,3.408,DIGITOVER,7,0.2360,0.1130,186,2455568319,lost,-0.35,1
16:25:45,JD100,1781713510,,3.407,DIGITOVER,5,0.4582,0.1122,168,2455569419,lost,-0.35,1
16:25:47,JD100,1781713511,,3.408,DIGITUNDER,3,0.3521,0.1284,164,2455570999,lost,-0.35,1
16:25:49,JD100,1781713512,,3.408,DIGITOVER,5,0.4581,0.1119,200,2455571819,won,0.48,1
16:25:51,JD100,1781713513,,3.407,DIGITOVER,5,0.4583,0.1122,172,2455573319,won,0.48,1
16:25:53,JD100,1781713514,,3.405,DIGITOVER,5,0.4584,0.1125,171,2455574419,won,0.48,1
16:25:55,JD100,1781713515,,3.404,DIGITOVER,4,0.5523,0.0787,144,2455575879,lost,-0.35,1
16:25:57,JD100,1781713516,,3.403,DIGITUNDER,5,0.5524,0.0788,182,2455576899,won,0.31,1
16:25:59,JD100,1781713517,,3.403,DIGITUNDER,2,0.2362,0.1143,195,2455578359,won,1.3,1
16:26:01,JD100,1781713518,,3.401,DIGITUNDER,2,0.2363,0.1146,174,2455579459,lost,-0.35,1
16:26:03,JD100,1781713519,,3.400,DIGITUNDER,4,0.4588,0.1135,164,2455581019,lost,-0.35,1
16:26:05,JD100,1781713520,,3.400,DIGITMATCH,5,0.1201,0.0725,559,2455583079,lost,-0.35,1
16:26:08,JD100,1781713521,,3.398,DIGITMATCH,4,0.1202,0.0728,165,2455583879,lost,-0.35,1
16:26:10,JD100,1781713522,,3.402,DIGITOVER,6,0.3525,0.1297,182,2455585079,won,0.75,1
16:26:12,JD100,1781713523,,3.400,DIGITOVER,5,0.4588,0.1135,185,2455586599,lost,-0.35,1
16:26:14,JD100,1781713524,,3.399,DIGITMATCH,5,0.1201,0.0726,198,2455587559,lost,-0.35,1
16:26:16,JD100,1781713525,,3.400,DIGITOVER,7,0.2364,0.1150,161,2455588959,won,1.3,1
16:26:18,JD100,1781713526,,3.398,DIGITOVER,6,0.3527,0.1305,149,2455590099,lost,-0.35,1
16:26:20,JD100,1781713527,,3.398,DIGITMATCH,5,0.1202,0.0729,208,2455591559,lost,-0.35,1
16:26:22,JD100,1781713528,,3.399,DIGITOVER,7,0.2364,0.1152,167,2455592419,lost,-0.35,1
16:26:24,JD100,1781713529,,3.398,DIGITUNDER,3,0.3528,0.1307,156,2455593859,won,0.75,1
16:26:26,JD100,1781713530,,3.396,DIGITUNDER,4,0.4591,0.1143,174,2455595159,lost,-0.35,1
16:26:28,JD100,1781713531,,3.397,DIGITOVER,6,0.3528,0.1309,143,2455596779,lost,-0.35,1
16:26:30,JD100,1781713532,,3.400,DIGITMATCH,4,0.1201,0.0724,171,2455598279,lost,-0.35,1
16:26:32,JD100,1781713533,,3.399,DIGITUNDER,5,0.5527,0.0794,163,2455599659,lost,-0.35,1
16:26:34,JD100,1781713534,,3.398,DIGITOVER,4,0.5527,0.0794,380,2455603399,won,0.31,1
16:26:36,JD100,1781713535,,3.397,DIGITOVER,6,0.3528,0.1308,155,2455604939,lost,-0.35,1
16:26:38,JD100,1781713536,,3.398,DIGITUNDER,4,0.4590,0.1139,160,2455605819,lost,-0.35,1
16:26:40,JD100,1781713537,,3.400,DIGITOVER,5,0.4588,0.1136,127,2455607479,lost,-0.35,1
16:26:43,JD100,1781713538,,3.402,DIGITUNDER,4,0.4587,0.1132,186,2455608979,won,0.48,1
16:26:45,JD100,1781713539,,3.400,DIGITUNDER,5,0.5526,0.0792,160,2455610379,lost,-0.35,1
16:26:47,JD100,1781713540,,3.405,DIGITOVER,4,0.5522,0.0785,158,2455611519,lost,-0.35,1
16:26:49,JD100,1781713541,,3.404,DIGITMATCH,4,0.1200,0.0714,157,2455612899,lost,-0.35,1
16:26:51,JD100,1781713542,,3.406,DIGITOVER,7,0.2361,0.1135,158,2455614039,lost,-0.35,1
16:26:53,JD100,1781713543,,3.405,DIGITOVER,5,0.4584,0.1126,152,2455615799,won,0.48,1
16:26:55,JD100,1781713544,,3.404,DIGITOVER,7,0.2362,0.1140,166,2455616979,lost,-0.35,1
16:26:57,JD100,1781713545,,3.403,DIGITUNDER,2,0.2362,0.1143,166,2455618599,won,1.3,1
16:26:59,JD100,1781713546,,3.401,DIGITUNDER,2,0.2363,0.1147,163,2455619779,lost,-0.35,1
16:27:01,JD100,1781713547,,3.400,DIGITOVER,6,0.3526,0.1302,172,2455621299,lost,-0.35,1
16:27:03,JD100,1781713548,,3.399,DIGITUNDER,2,0.2364,0.1152,162,2455622259,lost,-0.35,1
16:27:05,JD100,1781713549,,3.397,DIGITOVER,7,0.2365,0.1155,166,2455623619,lost,-0.35,1
16:27:07,JD100,1781713550,,3.396,DIGITOVER,5,0.4591,0.1142,181,2455624519,won,0.48,1
16:27:09,JD100,1781713551,,3.395,DIGITOVER,4,0.5529,0.0799,157,2455626119,won,0.31,1
16:27:11,JD100,1781713552,,3.393,DIGITMATCH,5,0.1203,0.0740,176,2455627239,lost,-0.35,1
16:27:14,JD100,1781713553,,3.394,DIGITOVER,7,0.2366,0.1163,190,2455628879,lost,-0.35,1
16:27:16,JD100,1781713554,,3.393,DIGITOVER,5,0.4594,0.1149,197,2455629939,won,0.48,1
16:27:18,JD100,1781713555,,3.392,DIGITOVER,5,0.4595,0.1152,139,2455631179,won,0.48,1
16:27:20,JD100,1781713556,,3.390,DIGITOVER,7,0.2368,0.1171,199,2455632559,lost,-0.35,1
16:27:22,JD100,1781713557,,3.392,DIGITMATCH,4,0.1203,0.0743,159,2455634279,lost,-0.35,1
16:27:24,JD100,1781713558,,3.393,DIGITUNDER,2,0.2367,0.1165,139,2455635239,lost,-0.35,1
16:27:26,JD100,1781713559,,3.393,DIGITOVER,5,0.4594,0.1149,154,2455636739,won,0.48,1
16:27:28,JD100,1781713560,,3.392,DIGITOVER,7,0.2368,0.1169,163,2455638019,won,1.3,1
16:27:30,JD100,1781713561,,3.390,DIGITOVER,7,0.2369,0.1172,170,2455640099,lost,-0.35,1
16:27:32,JD100,1781713562,,3.389,DIGITOVER,5,0.4597,0.1156,162,2455641499,won,0.48,1
16:27:34,JD100,1781713563,,3.387,DIGITOVER,5,0.4598,0.1159,133,2455642659,lost,-0.35,0
16:27:36,JD100,1781713564,,3.389,DIGITUNDER,4,0.4597,0.1156,194,2455643759,lost,-0.35,1
16:27:38,JD100,1781713565,,3.389,DIGITMATCH,5,0.1204,0.0751,168,2455645119,lost,-0.35,1
16:27:40,JD100,1781713566,,3.390,DIGITOVER,7,0.2369,0.1173,162,2455646239,lost,-0.35,1
16:27:43,JD100,1781713567,,3.388,DIGITUNDER,2,0.2369,0.1177,157,2455648219,lost,-0.35,1
16:27:45,JD100,1781713568,,3.387,DIGITOVER,7,0.2370,0.1180,188,2455649119,lost,-0.35,1
16:27:47,JD100,1781713569,,3.387,DIGITMATCH,5,0.1205,0.0755,166,2455650859,lost,-0.35,1
16:27:49,JD100,1781713570,,3.388,DIGITOVER,7,0.2370,0.1177,175,2455652299,won,1.3,1
16:27:51,JD100,1781713571,,3.386,DIGITOVER,7,0.2370,0.1181,172,2455653719,lost,-0.35,1
16:27:53,JD100,1781713572,,3.385,DIGITUNDER,3,0.3537,0.1335,171,2455654939,won,0.75,1
16:27:55,JD100,1781713573,,3.384,DIGITUNDER,2,0.2372,0.1186,318,2455658659,lost,-0.35,1
16:27:57,JD100,1781713574,,3.383,DIGITOVER,7,0.2372,0.1190,162,2455659919,lost,-0.35,1
16:27:59,JD100,1781713575,,3.381,DIGITUNDER,2,0.2373,0.1193,139,2455661499,lost,-0.35,1
16:28:01,JD100,1781713576,,3.380,DIGITOVER,6,0.3540,0.1347,170,2455662859,lost,-0.35,1
16:28:03,JD100,1781713577,,3.379,DIGITOVER,4,0.5541,0.0821,169,2455664539,won,0.31,1
16:28:05,JD100,1781713578,,3.378,DIGITOVER,4,0.5542,0.0823,158,2455665479,won,0.31,1
16:28:07,JD100,1781713579,,3.376,DIGITOVER,4,0.5543,0.0825,161,2455666719,won,0.31,1
16:28:09,JD100,1781713580,,3.375,DIGITOVER,4,0.5544,0.0828,206,2455667899,lost,-0.35,1
16:28:11,JD100,1781713581,,3.374,DIGITUNDER,5,0.5544,0.0828,193,2455669459,lost,-0.35,1
16:28:14,JD100,1781713582,,3.374,DIGITOVER,4,0.5545,0.0828,162,2455670719,lost,-0.35,1
16:28:16,JD100,1781713583,,3.376,DIGITUNDER,3,0.3544,0.1357,142,2455671839,won,0.75,1
16:28:18,JD100,1781713584,,3.374,DIGITUNDER,2,0.2376,0.1209,139,2455672919,lost,-0.35,1
16:28:20,JD100,1781713585,,3.378,DIGITOVER,4,0.5542,0.0823,157,2455674339,won,0.31,1
16:28:22,JD100,1781713586,,3.376,DIGITOVER,4,0.5543,0.0825,157,2455675459,won,0.31,1
16:28:24,JD100,1781713587,,3.375,DIGITMATCH,5,0.1208,0.0786,183,2455677099,lost,-0.35,1
16:28:26,JD100,1781713588,,3.380,DIGITOVER,6,0.3541,0.1348,153,2455680479,lost,-0.35,1
16:28:28,JD100,1781713589,,3.379,DIGITUNDER,3,0.3541,0.1349,135,2455681979,lost,-0.35,1
16:28:30,JD100,1781713590,,3.380,DIGITOVER,5,0.4604,0.1174,127,2455683099,lost,-0.35,1
16:28:32,JD100,1781713591,,3.381,DIGITUNDER,5,0.5540,0.0819,157,2455684399,won,0.31,1
16:28:34,JD100,1781713592,,3.379,DIGITUNDER,5,0.5541,0.0821,189,2455685299,lost,-0.35,1
16:28:36,JD100,1781713593,,3.379,DIGITOVER,4,0.5541,0.0822,134,2455686879,lost,-0.35,1
16:28:38,JD100,1781713594,,3.379,DIGITUNDER,4,0.4605,0.1175,164,2455688039,won,0.48,1
16:28:41,JD100,1781713595,,3.378,DIGITUNDER,4,0.4606,0.1178,125,2455689219,lost,-0.35,1
16:28:43,JD100,1781713596,,3.378,DIGITMATCH,5,0.1207,0.0779,195,2455690159,lost,-0.35,1
16:28:45,JD100,1781713597,,3.378,DIGITUNDER,3,0.3542,0.1351,145,2455691839,won,0.75,1
16:28:47,JD100,1781713598,,3.377,DIGITUNDER,3,0.3543,0.1355,203,2455693619,lost,-0.35,1
16:28:49,JD100,1781713599,,3.377,DIGITOVER,5,0.4606,0.1179,165,2455694999,won,0.48,1
16:28:51,JD100,1781713600,,3.376,DIGITOVER,6,0.3543,0.1357,190,2455696179,lost,-0.35,1
16:28:53,JD100,1781713601,,3.376,DIGITUNDER,4,0.4607,0.1181,142,2455697719,lost,-0.35,1
16:28:55,JD100,1781713602,,3.376,DIGITMATCH,4,0.1208,0.0784,165,2455699119,lost,-0.35,1
16:28:57,JD100,1781713603,,3.376,DIGITUNDER,2,0.2375,0.1205,144,2455700659,lost,-0.35,1
16:28:59,JD100,1781713604,,3.377,DIGITOVER,4,0.5542,0.0824,373,2455704799,won,0.31,1
16:29:01,JD100,1781713605,,3.388,DIGITOVER,4,0.5534,0.0808,134,2455705979,won,0.31,1
16:29:03,JD100,1781713606,,3.387,DIGITOVER,6,0.3535,0.1330,194,2455707319,won,0.75,1
16:29:06,JD100,1781713607,,3.386,DIGITOVER,7,0.2371,0.1182,148,2455708639,lost,-0.35,1
16:29:08,JD100,1781713608,,3.386,DIGITOVER,4,0.5536,0.0812,162,2455709679,lost,-0.35,1
16:29:10,JD100,1781713609,,3.393,DIGITMATCH,4,0.1203,0.0742,236,2455711259,won,2.78,1
16:29:12,JD100,1781713610,,3.391,DIGITMATCH,4,0.1203,0.0746,198,2455712359,lost,-0.35,1
16:29:14,JD100,1781713611,,3.394,DIGITUNDER,2,0.2366,0.1162,124,2455713779,won,1.3,1
16:29:16,JD100,1781713612,,3.393,DIGITUNDER,2,0.2367,0.1166,152,2455715119,won,1.3,1
16:29:18,JD100,1781713613,,3.391,DIGITUNDER,3,0.3532,0.1321,165,2455716419,won,0.75,1
16:29:20,JD100,1781713614,,3.390,DIGITUNDER,4,0.4596,0.1154,153,2455717519,won,0.48,1
16:29:22,JD100,1781713615,,3.397,DIGITUNDER,2,0.2365,0.1157,150,2455719239,lost,-0.35,1
16:29:24,JD100,1781713616,,3.396,DIGITUNDER,4,0.4591,0.1143,164,2455720219,lost,-0.35,1
16:29:26,JD100,1781713617,,3.396,DIGITOVER,6,0.3529,0.1309,167,2455721879,won,0.75,1
16:29:29,JD100,1781713618,,3.395,DIGITOVER,7,0.2366,0.1161,167,2455724079,lost,-0.35,1
16:29:31,JD100,1781713619,,3.396,DIGITUNDER,5,0.5529,0.0798,147,2455725619,lost,-0.35,1
16:29:33,JD100,1781713620,,3.396,DIGITOVER,7,0.2365,0.1158,143,2455726819,lost,-0.35,1
16:29:35,JD100,1781713621,,3.396,DIGITUNDER,4,0.4591,0.1143,166,2455728399,lost,-0.35,1
16:29:37,JD100,1781713622,,3.396,DIGITOVER,6,0.3529,0.1309,147,2455729819,lost,-0.35,1
16:29:39,JD100,1781713623,,3.395,DIGITUNDER,2,0.2366,0.1160,151,2455731199,lost,-0.35,1
16:29:41,JD100,1781713624,,3.395,DIGITOVER,5,0.4592,0.1145,197,2455732079,lost,-0.35,1
16:29:43,JD100,1781713625,,3.400,DIGITMATCH,4,0.1201,0.0724,145,2455733979,lost,-0.35,1
16:29:45,JD100,1781713626,,3.400,DIGITUNDER,3,0.3526,0.1302,191,2455734919,lost,-0.35,1
16:29:47,JD100,1781713627,,3.401,DIGITOVER,4,0.5525,0.0790,128,2455736199,won,0.31,1
16:29:49,JD100,1781713628,,3.400,DIGITMATCH,5,0.1201,0.0724,182,2455737379,lost,-0.35,1
